,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://bio.tools/1000genomes_id_history_converter,0,0,2,2,2,0,0
1,https://bio.tools/3d-ct-mri-images,0,0,2,2,0,0,0
2,https://bio.tools/4peaks,0,0,2,2,0,0,0
3,https://bio.tools/959_nematode_genomes,0,1,2,2,0,0,0
4,https://bio.tools/A-Lister,0,1,2,2,2,2,0
5,https://bio.tools/ACPred-Fuse,0,1,2,2,2,0,0
6,https://bio.tools/ADNI-3,0,1,2,2,2,0,0
7,https://bio.tools/AliTV,0,0,2,2,2,2,0
8,https://bio.tools/AntiBac-Pred,0,1,2,2,2,0,0
9,https://bio.tools/ApicoTFdb,0,1,2,2,2,0,0
10,https://bio.tools/AppA,0,1,2,2,2,2,0
11,https://bio.tools/BAMixChecker,0,0,2,2,2,0,0
12,https://bio.tools/BIOMINT,0,1,2,2,2,0,0
13,https://bio.tools/BRM,0,1,2,2,2,2,0
14,https://bio.tools/BTA18,0,1,2,2,2,0,0
15,https://bio.tools/BWView,0,0,2,2,0,2,0
16,https://bio.tools/BacFITBase,0,1,2,2,2,0,0
17,https://bio.tools/Binner,0,1,2,2,2,0,0
18,https://bio.tools/BioBERT,0,1,2,2,2,0,0
19,https://bio.tools/Bioinformatics_Docker_Images_Project,0,0,2,2,2,0,0
20,https://bio.tools/BlastGUIA,0,1,2,2,2,2,0
21,https://bio.tools/C3D,0,0,2,2,2,2,0
22,https://bio.tools/CAM,0,0,2,2,2,2,0
23,https://bio.tools/CCMetagen,0,0,2,2,2,2,0
24,https://bio.tools/CEPICS,0,1,2,2,2,2,0
25,https://bio.tools/CFQuant-automatic,0,1,2,2,2,2,0
26,https://bio.tools/CISI,0,1,2,2,2,2,0
27,https://bio.tools/CardioFAN,0,1,2,2,2,2,0
28,https://bio.tools/CellProfiler,0,0,2,2,2,2,0
29,https://bio.tools/ChemPager,0,1,2,2,2,2,0
30,https://bio.tools/CiliaCarta,0,1,2,2,2,2,0
31,https://bio.tools/CircPro,0,0,2,2,2,2,0
32,https://bio.tools/ClonalTREE,0,1,2,2,2,2,0
33,https://bio.tools/Clus-Ensemble,0,1,2,2,2,0,0
34,https://bio.tools/Complex,0,0,2,2,2,0,0
35,https://bio.tools/ConsExpo,0,1,2,2,2,0,0
36,https://bio.tools/CowpeaMine,0,0,2,2,2,2,0
37,https://bio.tools/Cram-JS,0,1,2,2,2,2,0
38,https://bio.tools/Curatopes_Melanoma,0,1,2,2,2,0,0
39,https://bio.tools/DDIA,0,0,2,2,2,0,0
40,https://bio.tools/DEOGEN2,0,1,2,2,2,0,0
41,https://bio.tools/DEPOT,0,1,2,2,2,2,0
42,https://bio.tools/DISIT-Twitter,0,0,2,2,2,0,0
43,https://bio.tools/DLIGAND2,0,1,2,2,2,2,0
44,https://bio.tools/DNA-BOT,0,1,2,2,2,2,0
45,https://bio.tools/DeepCleave,0,1,2,2,2,0,0
46,https://bio.tools/DiversityMobile,0,0,2,2,2,2,0
47,https://bio.tools/DrDiff,0,1,2,2,2,2,0
48,https://bio.tools/DrawGlycan-SNFG,0,1,2,2,2,2,0
49,https://bio.tools/DyNeuSR,0,1,2,2,2,2,0
50,https://bio.tools/E-TOKEN,0,0,2,2,2,0,0
51,https://bio.tools/ELIMU-MDx,0,1,2,2,2,2,0
52,https://bio.tools/EasyModel,0,1,2,2,2,2,0
53,https://bio.tools/EpiEstim,0,1,2,2,2,0,0
54,https://bio.tools/Exoscore,0,1,2,2,2,0,0
55,https://bio.tools/FEDRO,0,1,2,2,2,0,0
56,https://bio.tools/FISC,0,1,2,2,2,0,0
57,https://bio.tools/FLAM-seq,0,1,2,2,2,0,0
58,https://bio.tools/FLEXOR,0,1,2,2,2,2,0
59,https://bio.tools/FawMine,0,0,2,2,2,2,0
60,https://bio.tools/FishResp,0,1,2,2,2,2,0
61,https://bio.tools/FluoroCellTrack,0,1,2,2,2,2,0
62,https://bio.tools/Fly-QMA,0,1,2,2,2,2,0
63,https://bio.tools/FoPA,0,0,2,2,2,0,0
64,https://bio.tools/FoxMask,0,0,2,2,2,2,0
65,https://bio.tools/GEMMER,0,0,2,2,2,2,0
66,https://bio.tools/GapMind,0,0,2,2,2,0,0
67,https://bio.tools/GenomeQC,0,0,2,2,2,2,0
68,https://bio.tools/GiniClust3,0,0,2,2,2,0,0
69,https://bio.tools/HD-BET,0,1,2,2,2,0,0
70,https://bio.tools/HMMER2,0,0,2,2,2,2,0
71,https://bio.tools/HiCeekR,0,1,2,2,2,2,0
72,https://bio.tools/HybPiper,0,0,2,2,2,2,0
73,https://bio.tools/HymenopteraMine,0,0,2,2,2,2,0
74,https://bio.tools/IMR,0,1,2,2,0,0,0
75,https://bio.tools/ImmuneRegulation,0,1,2,2,2,2,0
76,https://bio.tools/KDDANet,0,0,2,2,2,2,0
77,https://bio.tools/LAS,0,1,2,2,2,0,0
78,https://bio.tools/LBEEP,0,1,2,2,2,2,0
79,https://bio.tools/LFQ-Analyst,0,1,2,2,2,2,0
80,https://bio.tools/LTMG,0,1,2,2,2,0,0
81,https://bio.tools/LUCIDus,0,1,2,2,2,2,0
82,https://bio.tools/LiSep_LSTM,0,1,2,2,2,0,0
83,https://bio.tools/LipidMatch_Normalizer,0,1,2,2,2,2,0
84,https://bio.tools/LutzoDexTM,0,1,2,2,2,0,0
85,https://bio.tools/M-TRACK,0,0,2,2,2,2,0
86,https://bio.tools/MARGO,0,1,2,2,2,0,0
87,https://bio.tools/MBBS,0,1,2,2,2,0,0
88,https://bio.tools/MDiNE,0,1,2,2,2,0,0
89,https://bio.tools/MFAC,0,1,2,2,2,0,0
90,https://bio.tools/MIRKB,0,1,2,2,2,0,0
91,https://bio.tools/MOODA,0,0,2,2,2,2,0
92,https://bio.tools/MPIC,0,1,2,2,2,0,0
93,https://bio.tools/MTiOpenScreen,0,1,2,2,2,2,0
94,https://bio.tools/Monoallelic_gene_inference_from_chromatin_MaGIC,0,1,2,2,2,2,0
95,https://bio.tools/Multiple_Myeloma_survival_prediction,0,0,2,2,0,2,0
96,https://bio.tools/MutaNET,0,0,2,2,2,2,0
97,https://bio.tools/MySweetGestation,0,1,2,2,0,0,0
98,https://bio.tools/NBGLM-LBC,0,1,2,2,2,0,0
99,https://bio.tools/NGL,0,0,2,2,2,2,0
100,https://bio.tools/NLP_autogenerated,0,0,2,2,2,0,0
101,https://bio.tools/NRStitcher,0,1,2,2,2,2,0
102,https://bio.tools/NanoDefiner,0,1,2,2,2,2,0
103,https://bio.tools/NavWell,0,1,2,2,2,0,0
104,https://bio.tools/NormExpression,0,1,2,2,2,2,0
105,https://bio.tools/OCTAVVS,0,0,2,2,2,2,0
106,https://bio.tools/OLGenie,0,0,2,2,2,2,0
107,https://bio.tools/OncoSim_OncoWiki,0,1,2,2,2,0,0
108,https://bio.tools/OptFill,0,0,2,2,2,0,0
109,https://bio.tools/Ordino,0,0,2,2,2,2,0
110,https://bio.tools/PASeq,0,0,2,2,2,0,0
111,https://bio.tools/PATHFx,0,1,2,2,2,0,0
112,https://bio.tools/PHENO,0,0,2,2,2,0,0
113,https://bio.tools/PVCTools,0,1,2,2,2,0,0
114,https://bio.tools/PaCBAM,0,1,2,2,2,0,0
115,https://bio.tools/PharmActa,0,1,2,2,2,0,0
116,https://bio.tools/PhenoForecaster,0,1,2,2,2,2,0
117,https://bio.tools/Phosphoproteome_Prediction,0,1,2,2,2,0,0
118,https://bio.tools/PromoterPredict,0,0,2,2,2,0,0
119,https://bio.tools/PsyMuKB,0,1,2,2,2,0,0
120,https://bio.tools/Q-HIU,0,1,2,2,2,2,0
121,https://bio.tools/RAbHIT,0,0,2,2,2,2,0
122,https://bio.tools/RF_Purify,0,1,2,2,2,0,0
123,https://bio.tools/RNASeq_similarity_matrix,0,1,2,2,2,2,0
124,https://bio.tools/RNAactDrug,0,1,2,2,2,0,0
125,https://bio.tools/ROBOKOP,0,1,2,2,2,2,0
126,https://bio.tools/ROHan,0,0,2,2,2,0,0
127,https://bio.tools/RR-APET,0,1,2,2,2,0,0
128,https://bio.tools/RUFUS,0,1,2,2,2,0,0
129,https://bio.tools/RXN,0,0,2,2,2,0,0
130,https://bio.tools/ReDU,0,0,2,2,2,2,0
131,https://bio.tools/RepeatModeler2,0,0,2,2,2,0,0
132,https://bio.tools/Review_Blockchain_Architecture_Consensus_Protocols,0,0,2,2,2,0,0
133,https://bio.tools/Rural,0,0,2,2,2,0,0
134,https://bio.tools/SCATTER_PHY,0,0,2,2,2,0,0
135,https://bio.tools/SCDevDB,0,1,2,2,2,0,0
136,https://bio.tools/SCEptRe,0,1,2,2,2,0,0
137,https://bio.tools/SCN1A,0,1,2,2,2,0,0
138,https://bio.tools/SDEAP,0,0,2,2,2,2,0
139,https://bio.tools/SDM6A,0,1,2,2,2,0,0
140,https://bio.tools/SLAM-DUNK,0,1,2,2,2,2,0
141,https://bio.tools/SLiM_software,0,0,2,2,2,2,0
142,https://bio.tools/SMARTS_autogenerated,0,1,2,2,2,0,0
143,https://bio.tools/SPARK-MSNA,0,1,2,2,2,2,0
144,https://bio.tools/SSRSC,0,1,2,2,2,0,0
145,https://bio.tools/SW-Tandem,0,0,2,2,2,2,0
146,https://bio.tools/SourceSet,0,1,2,2,2,0,0
147,https://bio.tools/SpCLUST,0,1,2,2,0,0,0
148,https://bio.tools/Spectrum_autogenerated,0,1,2,2,2,2,0
149,https://bio.tools/StanEx1,0,1,2,2,2,2,0
