,id,Mandatory properties,Recommended properties
0,https://bio.tools/ppms,100.0,37.5
1,https://bio.tools/DRAMP,100.0,50.0
2,https://bio.tools/m3drop,100.0,75.0
3,https://bio.tools/mrcip,100.0,50.0
4,https://bio.tools/probe,100.0,50.0
5,https://bio.tools/Bellerophon,100.0,37.5
6,https://bio.tools/cga_tools,100.0,62.5
7,https://bio.tools/midb,100.0,50.0
8,https://bio.tools/mungesumstats,100.0,62.5
9,https://bio.tools/drugvirus,100.0,37.5
10,https://bio.tools/sculptor,100.0,62.5
11,https://bio.tools/badge,100.0,50.0
12,https://bio.tools/DeepMF,100.0,50.0
13,https://bio.tools/ontogetsibs,100.0,75.0
14,https://bio.tools/multimeta,100.0,50.0
15,https://bio.tools/gdasc,100.0,50.0
16,https://bio.tools/MolProbity_autogenerated,100.0,37.5
17,https://bio.tools/dart_mapper,100.0,50.0
18,https://bio.tools/vica,100.0,75.0
19,https://bio.tools/hap-ibd,100.0,62.5
20,https://bio.tools/Fiview,100.0,37.5
21,https://bio.tools/linkprep,100.0,62.5
22,https://bio.tools/alignstat,100.0,75.0
23,https://bio.tools/quantitativetox,100.0,62.5
24,https://bio.tools/groopm,100.0,62.5
25,https://bio.tools/icnv,100.0,75.0
26,https://bio.tools/lipydomics,100.0,62.5
27,https://bio.tools/ectracker,100.0,50.0
28,https://bio.tools/sloppr,100.0,50.0
29,https://bio.tools/dendronet,100.0,50.0
30,https://bio.tools/methylmnm,100.0,75.0
31,https://bio.tools/biocor,100.0,62.5
32,https://bio.tools/specl,100.0,75.0
33,https://bio.tools/fast-auc,100.0,25.0
34,https://bio.tools/sequins,100.0,50.0
35,https://bio.tools/hapredictor,100.0,50.0
36,https://bio.tools/adme,100.0,50.0
37,https://bio.tools/methylscaper,100.0,50.0
38,https://bio.tools/cramer,100.0,62.5
39,https://bio.tools/matrixcgh,100.0,50.0
40,https://bio.tools/read-tv,100.0,62.5
41,https://bio.tools/humir,100.0,50.0
42,https://bio.tools/Fertility-GRU,100.0,50.0
43,https://bio.tools/prosettac,100.0,50.0
44,https://bio.tools/9aaTAD,100.0,37.5
45,https://bio.tools/covid-19-mutation-browser,100.0,62.5
46,https://bio.tools/aesthetic_damage,100.0,37.5
47,https://bio.tools/cancer,100.0,75.0
48,https://bio.tools/faret,100.0,50.0
49,https://bio.tools/pathway_hunter_tool,100.0,50.0
50,https://bio.tools/hgnc,100.0,50.0
51,https://bio.tools/crispr-focus,100.0,50.0
52,https://bio.tools/flyrnai,100.0,50.0
53,https://bio.tools/sidirect,100.0,50.0
54,https://bio.tools/phaedra,100.0,62.5
55,https://bio.tools/metabridge,100.0,62.5
56,https://bio.tools/markercapsule,100.0,50.0
57,https://bio.tools/mitosegnet,100.0,50.0
58,https://bio.tools/LecoS,100.0,50.0
59,https://bio.tools/scsnv,100.0,62.5
60,https://bio.tools/protein_sequence_logos,100.0,62.5
61,https://bio.tools/gapp,100.0,50.0
62,https://bio.tools/netautoprobit,100.0,50.0
63,https://bio.tools/autismkb,100.0,50.0
64,https://bio.tools/cogrim,100.0,50.0
65,https://bio.tools/ksp-puel,100.0,50.0
66,https://bio.tools/cpg_transformer,100.0,62.5
67,https://bio.tools/Docker4Circ,100.0,62.5
68,https://bio.tools/DLO_Hi-C,100.0,62.5
69,https://bio.tools/nanopanel2,100.0,62.5
70,https://bio.tools/faa-mouse-brain,100.0,62.5
71,https://bio.tools/radon-backprojection-algorithm,100.0,50.0
72,https://bio.tools/sensa,100.0,50.0
73,https://bio.tools/MalariaGEN,100.0,50.0
74,https://bio.tools/parties,100.0,50.0
75,https://bio.tools/Norine_autogenerated,100.0,37.5
76,https://bio.tools/arena3d,100.0,50.0
77,https://bio.tools/ifeature,100.0,50.0
78,https://bio.tools/polyphen-2,100.0,62.5
79,https://bio.tools/html5_pivotviewer,100.0,50.0
80,https://bio.tools/qpalma,100.0,50.0
81,https://bio.tools/yass,100.0,50.0
82,https://bio.tools/Sniffles_autogenerated,100.0,37.5
83,https://bio.tools/QEVO,100.0,25.0
84,https://bio.tools/mbs,100.0,50.0
85,https://bio.tools/beachmat,100.0,62.5
86,https://bio.tools/bufboss,100.0,50.0
87,https://bio.tools/golden_helix,100.0,37.5
88,https://bio.tools/maligner,100.0,50.0
89,https://bio.tools/laj,100.0,50.0
90,https://bio.tools/mefit,100.0,62.5
91,https://bio.tools/curatedMetagenomicData,100.0,50.0
92,https://bio.tools/snr,100.0,62.5
93,https://bio.tools/dp2,100.0,37.5
94,https://bio.tools/anchor,100.0,37.5
95,https://bio.tools/regpredict,100.0,50.0
96,https://bio.tools/opencmiss,100.0,50.0
97,https://bio.tools/bionanoanalyst,100.0,50.0
98,https://bio.tools/Terra,100.0,25.0
99,https://bio.tools/digenome-seq,100.0,50.0
100,https://bio.tools/methcoresprofiler,100.0,50.0
101,https://bio.tools/fan-c,100.0,62.5
102,https://bio.tools/bbear,100.0,50.0
103,https://bio.tools/seqpattern,100.0,75.0
104,https://bio.tools/schloro,100.0,75.0
105,https://bio.tools/biocie,100.0,50.0
106,https://bio.tools/bioimageoperation,100.0,50.0
107,https://bio.tools/motifviz,100.0,50.0
108,https://bio.tools/gnps,100.0,62.5
109,https://bio.tools/gdfuzz3d,100.0,50.0
110,https://bio.tools/mapexr,100.0,62.5
111,https://bio.tools/codono,100.0,50.0
112,https://bio.tools/ADAMTS7_E373Q_ADAMTS7_WT_ADAMTS7,100.0,37.5
113,https://bio.tools/peppan,100.0,50.0
114,https://bio.tools/taxfold,100.0,50.0
115,https://bio.tools/FUMOSO,100.0,62.5
116,https://bio.tools/gene_expression_atlas,100.0,50.0
117,https://bio.tools/fromage,100.0,62.5
118,https://bio.tools/cs-pseq-gen,100.0,62.5
119,https://bio.tools/NaviKey,100.0,62.5
120,https://bio.tools/delta_mass,100.0,37.5
121,https://bio.tools/mergemaid,100.0,75.0
122,https://bio.tools/jesam,100.0,50.0
123,https://bio.tools/prosat2,100.0,50.0
124,https://bio.tools/aviator,100.0,62.5
125,https://bio.tools/inetmodels,100.0,37.5
126,https://bio.tools/n-glyco,100.0,62.5
127,https://bio.tools/skeledock,100.0,37.5
128,https://bio.tools/crossbar,100.0,50.0
129,https://bio.tools/underlyingapproach,100.0,75.0
130,https://bio.tools/orna,100.0,50.0
131,https://bio.tools/dna-microarray-image-processing,100.0,50.0
132,https://bio.tools/onionmhc,100.0,50.0
133,https://bio.tools/mrd,100.0,50.0
134,https://bio.tools/qsurface,100.0,50.0
135,https://bio.tools/neartree,100.0,75.0
136,https://bio.tools/LAGOS,100.0,25.0
137,https://bio.tools/bdvis,100.0,50.0
138,https://bio.tools/multiclust,100.0,75.0
139,https://bio.tools/slicermorph,100.0,50.0
140,https://bio.tools/micrographcleaner,100.0,62.5
141,https://bio.tools/isotopident,100.0,37.5
142,https://bio.tools/aging_mouse_brain,100.0,37.5
143,https://bio.tools/links,100.0,62.5
144,https://bio.tools/pdid,100.0,62.5
145,https://bio.tools/proteinensemble,100.0,75.0
146,https://bio.tools/gosim,100.0,75.0
147,https://bio.tools/pcatag,100.0,50.0
148,https://bio.tools/imix,100.0,50.0
149,https://bio.tools/multigwas,100.0,62.5
150,https://bio.tools/sv-bay,100.0,50.0
151,https://bio.tools/bcl,100.0,50.0
152,https://bio.tools/pine,100.0,50.0
153,https://bio.tools/mbkmeans,100.0,62.5
154,https://bio.tools/RDF_autogenerated,100.0,50.0
