,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://bio.tools/-CNN,0.0,0.02,0.0,0.0,0.0,0.0,0.01
1,https://bio.tools/2018,0.0,0.01,0.0,0.0,0.0,0.01,0.01
2,https://bio.tools/ABS50,0.0,0.01,0.0,0.0,0.0,0.0,0.01
3,https://bio.tools/ABUS,0.0,0.01,0.0,0.0,0.0,0.0,0.01
4,https://bio.tools/ACCOST,0.0,0.01,0.0,0.0,0.0,0.0,0.01
5,https://bio.tools/ADR,0.0,0.01,0.0,0.0,0.0,0.0,0.01
6,https://bio.tools/ALIENNESS,0.0,0.01,0.0,0.0,0.0,0.0,0.01
7,https://bio.tools/AMICI,0.0,0.01,0.0,0.0,0.0,0.0,0.01
8,https://bio.tools/ANK3,0.0,0.01,0.0,0.0,0.0,0.0,0.01
9,https://bio.tools/APPLES_autogenerated,0.0,0.01,0.0,0.0,0.0,0.0,0.01
10,https://bio.tools/ATLAS_autogenerated,0.0,0.01,0.0,0.0,0.0,0.0,0.01
11,https://bio.tools/AVAILABILITYschex,0.0,0.01,0.0,0.0,0.0,0.0,0.01
12,https://bio.tools/AcCNET,0.0,0.01,0.0,0.0,0.0,0.0,0.01
13,https://bio.tools/AdditiveChem,0.0,0.01,0.0,0.0,0.0,0.0,0.01
14,https://bio.tools/AdequacyModel,0.0,0.01,0.0,0.0,0.0,0.0,0.01
15,https://bio.tools/AggreRATE-Pred,0.0,0.01,0.0,0.0,0.0,0.0,0.01
16,https://bio.tools/AluI,0.0,0.01,0.0,0.0,0.0,0.0,0.01
17,https://bio.tools/B-SOiD,0.0,0.01,0.0,0.0,0.0,0.0,0.01
18,https://bio.tools/B47,0.0,0.01,0.0,0.0,0.0,0.0,0.01
19,https://bio.tools/BAGSE,0.0,0.01,0.0,0.0,0.0,0.0,0.01
20,https://bio.tools/BART-Seq,0.0,0.01,0.0,0.0,0.0,0.0,0.01
21,https://bio.tools/BBCancer,0.0,0.01,0.0,0.0,0.0,0.01,0.01
22,https://bio.tools/BO-LSTM,0.0,0.01,0.0,0.0,0.0,0.0,0.01
23,https://bio.tools/BRAPeS,0.0,0.01,0.0,0.0,0.0,0.0,0.01
24,https://bio.tools/Behavioral_Artistry,0.0,0.01,0.0,0.0,0.0,0.0,0.01
25,https://bio.tools/Beyond_taxonomic_identification,0.0,0.01,0.0,0.0,0.0,0.0,0.01
26,https://bio.tools/BiG-SCAPE,0.0,0.01,0.0,0.0,0.0,0.0,0.01
27,https://bio.tools/C-InterSecture,0.0,0.01,0.0,0.0,0.0,0.0,0.01
28,https://bio.tools/CLOBNET,0.0,0.01,0.0,0.0,0.0,0.0,0.01
29,https://bio.tools/CMap,0.0,0.01,0.0,0.0,0.0,0.0,0.01
30,https://bio.tools/CNAtra,0.0,0.01,0.0,0.0,0.0,0.0,0.01
31,https://bio.tools/CNN-T4SE,0.0,0.01,0.0,0.0,0.0,0.0,0.01
32,https://bio.tools/COBRA_Toolbox,0.0,0.02,0.0,0.0,0.0,0.0,0.01
33,https://bio.tools/CPlantBox,0.0,0.01,0.0,0.0,0.0,0.01,0.01
34,https://bio.tools/CRB-Anim,0.0,0.01,0.0,0.0,0.0,0.0,0.01
35,https://bio.tools/CRZ,0.0,0.01,0.0,0.0,0.0,0.0,0.01
36,https://bio.tools/CSMD,0.0,0.01,0.0,0.0,0.0,0.0,0.01
37,https://bio.tools/CYBERTRACK,0.0,0.01,0.0,0.0,0.0,0.01,0.01
38,https://bio.tools/Cascabel,0.0,0.01,0.0,0.0,0.0,0.0,0.01
39,https://bio.tools/CladePP,0.0,0.01,0.0,0.0,0.0,0.0,0.01
40,https://bio.tools/ClassifyMe,0.0,0.01,0.0,0.0,0.0,0.0,0.01
41,https://bio.tools/CytoTRACE,0.0,0.01,0.0,0.0,0.0,0.0,0.01
42,https://bio.tools/D-lnc,0.0,0.01,0.0,0.0,0.0,0.0,0.01
43,https://bio.tools/DCA,0.0,0.01,0.0,0.0,0.0,0.0,0.01
44,https://bio.tools/DDR,0.0,0.01,0.0,0.0,0.0,0.0,0.01
45,https://bio.tools/DEN-IM,0.0,0.01,0.0,0.0,0.0,0.0,0.01
46,https://bio.tools/DIA,0.0,0.01,0.0,0.0,0.0,0.0,0.01
47,https://bio.tools/DIPY,0.0,0.01,0.0,0.0,0.0,0.0,0.01
48,https://bio.tools/DO-MS,0.0,0.01,0.0,0.0,0.0,0.0,0.01
49,https://bio.tools/DPre,0.0,0.01,0.0,0.0,0.0,0.01,0.01
50,https://bio.tools/DVASS,0.0,0.01,0.0,0.0,0.0,0.0,0.01
51,https://bio.tools/DeCoDe_autogenerated,0.0,0.01,0.0,0.0,0.0,0.0,0.01
52,https://bio.tools/DeepPPISP,0.0,0.07,0.0,0.0,0.0,0.0,0.01
53,https://bio.tools/Deep_Docking,0.0,0.01,0.0,0.0,0.0,0.0,0.01
54,https://bio.tools/DepthFinder,0.0,0.01,0.0,0.0,0.0,0.0,0.01
55,https://bio.tools/DriverSub,0.0,0.01,0.0,0.0,0.0,0.0,0.01
56,https://bio.tools/Dsuite,0.0,0.01,0.0,0.0,0.0,0.0,0.01
57,https://bio.tools/EDCluster,0.0,0.01,0.0,0.0,0.0,0.0,0.01
58,https://bio.tools/ENCODE,0.0,0.01,0.0,0.0,0.0,0.01,0.01
59,https://bio.tools/EPIGENE,0.0,0.01,0.0,0.0,0.0,0.0,0.01
60,https://bio.tools/ExploreASL,0.0,0.01,0.0,0.0,0.0,0.0,0.01
61,https://bio.tools/FEniCS,0.0,0.01,0.0,0.0,0.0,0.01,0.01
62,https://bio.tools/FICC-Seq,0.0,0.01,0.0,0.0,0.0,0.0,0.01
63,https://bio.tools/FIN-Seq,0.0,0.01,0.0,0.0,0.0,0.0,0.01
64,https://bio.tools/FLEA,0.0,0.01,0.0,0.0,0.0,0.0,0.01
65,https://bio.tools/FPbase,0.0,0.01,0.0,0.0,0.0,0.0,0.01
66,https://bio.tools/FaceGen,0.0,0.01,0.0,0.0,0.0,0.0,0.01
67,https://bio.tools/FastProNGS,0.0,0.01,0.0,0.0,0.0,0.0,0.01
68,https://bio.tools/FeatureSelect,0.0,0.01,0.0,0.0,0.0,0.0,0.01
69,https://bio.tools/GCPred,0.0,0.01,0.0,0.0,0.0,0.0,0.01
70,https://bio.tools/GEO,0.0,0.01,0.0,0.0,0.0,0.0,0.01
71,https://bio.tools/GLycan_Array_Dashboard,0.0,0.01,0.0,0.0,0.0,0.0,0.01
72,https://bio.tools/GOnet,0.0,0.01,0.0,0.0,0.0,0.0,0.01
73,https://bio.tools/GPUAM,0.0,0.01,0.0,0.0,0.0,0.0,0.01
74,https://bio.tools/GPseudoClust,0.0,0.01,0.0,0.0,0.0,0.0,0.01
75,https://bio.tools/GRASS,0.0,0.01,0.0,0.0,0.0,0.01,0.01
76,https://bio.tools/GWEP,0.0,0.01,0.0,0.0,0.0,0.0,0.01
77,https://bio.tools/GenEx_autogenerated,0.0,0.01,0.0,0.0,0.0,0.0,0.01
78,https://bio.tools/HIV-1,0.0,0.01,0.0,0.0,0.0,0.0,0.01
79,https://bio.tools/Harmony_autogenerated,0.0,0.01,0.0,0.0,0.0,0.0,0.01
80,https://bio.tools/Hoosier_Vocal_Emotions_Corpus,0.0,0.01,0.0,0.0,0.0,0.0,0.01
81,https://bio.tools/IMGT_Collier-de-Perles,0.0,0.01,0.0,0.0,0.0,0.0,0.01
82,https://bio.tools/IMGT_GeneFrequency,0.0,0.01,0.0,0.0,0.0,0.0,0.01
83,https://bio.tools/IMPLEMENTATIONHowDe-SBT,0.0,0.01,0.0,0.0,0.0,0.0,0.01
84,https://bio.tools/IOP,0.0,0.01,0.0,0.0,0.0,0.0,0.01
85,https://bio.tools/IPD_project,0.0,0.01,0.0,0.0,0.0,0.01,0.01
86,https://bio.tools/Immcantation,0.0,0.01,0.0,0.0,0.0,0.0,0.01
87,https://bio.tools/In3-x_Se4,0.0,0.01,0.0,0.0,0.0,0.0,0.01
88,https://bio.tools/IoT_autogenerated,0.0,0.01,0.0,0.0,0.0,0.0,0.01
89,https://bio.tools/IsoPOPd,0.0,0.01,0.0,0.0,0.0,0.0,0.01
90,https://bio.tools/JAL,0.0,0.01,0.0,0.0,0.0,0.0,0.01
91,https://bio.tools/KronRLS-MKL,0.0,0.01,0.0,0.0,0.0,0.0,0.01
92,https://bio.tools/LAmbDA,0.0,0.01,0.0,0.0,0.0,0.0,0.01
93,https://bio.tools/LION-web,0.0,0.01,0.0,0.0,0.0,0.01,0.01
94,https://bio.tools/LSTM,0.0,0.01,0.0,0.0,0.0,0.0,0.01
95,https://bio.tools/LSX,0.0,0.01,0.0,0.0,0.0,0.0,0.01
96,https://bio.tools/LightGBM,0.0,0.01,0.0,0.0,0.0,0.0,0.01
97,https://bio.tools/MCT,0.0,0.01,0.0,0.0,0.0,0.0,0.01
98,https://bio.tools/MG-RAST_API_explorer,0.0,0.01,0.0,0.0,0.0,0.0,0.01
99,https://bio.tools/MIXR,0.0,0.01,0.0,0.0,0.0,0.0,0.01
100,https://bio.tools/MPS-Db,0.0,0.01,0.0,0.0,0.0,0.0,0.01
