,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
0,https://doi.org/10.5061/dryad.hm813,2,2,2,2,2,2,2,2,2,0,2
1,https://doi.org/10.5061/dryad.p61vk,2,2,2,2,2,2,2,2,2,0,2
2,https://doi.org/10.5061/dryad.712kj7v,2,2,2,2,2,2,2,2,2,0,2
3,https://doi.org/10.5061/dryad.3k502,2,2,2,2,2,2,2,2,2,0,2
4,https://doi.org/10.5061/dryad.24732,2,2,2,2,2,2,2,2,2,0,2
5,https://doi.org/10.5061/dryad.77b2422,2,2,2,2,2,2,2,2,2,0,2
6,https://doi.org/10.5061/dryad.68n87,2,2,2,2,2,2,2,2,2,0,2
7,https://doi.org/10.5061/dryad.4rp68,2,2,2,2,2,2,2,2,2,0,2
8,https://doi.org/10.5061/dryad.hs5jt80,2,2,2,2,2,2,2,2,2,0,2
9,https://doi.org/10.5061/dryad.5p6vv,2,2,2,2,2,2,2,2,2,0,2
10,https://doi.org/10.5061/dryad.75nn5,2,2,2,2,2,2,2,2,2,0,2
11,https://doi.org/10.5061/dryad.jd5716f,2,2,2,2,2,2,2,2,2,0,2
12,https://doi.org/10.5061/dryad.v1d30,2,2,2,2,2,2,2,2,2,0,2
13,https://doi.org/10.5061/dryad.6mh29,2,2,2,2,2,2,2,2,2,0,2
14,https://doi.org/10.5061/dryad.vf8sm,2,2,2,2,2,2,2,2,2,0,2
15,https://doi.org/10.5061/dryad.2hr38,2,2,2,2,2,2,2,2,2,0,2
16,https://doi.org/10.5061/dryad.8ks16,2,2,2,2,2,2,2,2,2,0,2
17,https://doi.org/10.5061/dryad.22qc2,2,2,2,2,2,2,2,2,2,0,2
18,https://doi.org/10.5061/dryad.ht3564h,2,2,2,2,2,2,2,2,2,0,2
19,https://doi.org/10.5061/dryad.1nt24m0,2,2,2,2,2,2,2,2,2,0,2
20,https://doi.org/10.5061/dryad.67dn4,2,2,2,2,2,2,2,2,2,0,2
21,https://doi.org/10.5061/dryad.t9221,2,2,2,2,2,2,2,2,2,0,2
22,https://doi.org/10.5061/dryad.h13jv,2,2,2,2,2,2,2,2,2,0,2
23,https://doi.org/10.5061/dryad.m57sd,2,2,2,2,2,2,2,2,2,0,2
24,https://doi.org/10.5061/dryad.q447c,2,2,2,2,2,2,2,2,2,0,2
25,https://doi.org/10.5061/dryad.r4b69rg,2,2,2,2,2,2,2,2,2,0,2
26,https://doi.org/10.5061/dryad.gq883,2,2,2,2,2,2,2,2,2,0,2
27,https://doi.org/10.5061/dryad.37d5m,2,2,2,2,2,2,2,2,2,0,2
28,https://doi.org/10.5061/dryad.r95dh,2,2,2,2,2,2,2,2,2,0,2
29,https://doi.org/10.5061/dryad.f0b2f083,2,2,2,2,2,2,2,2,2,0,2
30,https://doi.org/10.5061/dryad.h02q0,2,2,2,2,2,2,2,2,2,0,2
31,https://doi.org/10.5061/dryad.4368h,2,2,2,2,2,2,2,2,2,0,2
32,https://doi.org/10.5061/dryad.73tj5,2,2,2,2,2,2,2,2,2,0,2
33,https://doi.org/10.5061/dryad.736cj0j,2,2,2,2,2,2,2,2,2,0,2
34,https://doi.org/10.5061/dryad.3c0f1,2,2,2,2,2,2,2,2,2,0,2
35,https://doi.org/10.5061/dryad.2g3s4,2,2,2,2,2,2,2,2,2,0,2
36,https://doi.org/10.5061/dryad.6983c,2,2,2,2,2,2,2,2,2,0,2
37,https://doi.org/10.5061/dryad.s3tc6,2,2,2,2,2,2,2,2,2,0,2
38,https://doi.org/10.5061/dryad.35h8v,2,2,2,2,2,2,2,2,2,0,2
39,https://doi.org/10.5061/dryad.66840,2,2,2,2,2,2,2,2,2,0,2
40,https://doi.org/10.5061/dryad.d95j4,2,2,2,2,2,2,2,2,2,0,2
41,https://doi.org/10.5061/dryad.s6f4q,2,2,2,2,2,2,2,2,2,0,2
42,https://doi.org/10.5061/dryad.75b406n,2,2,2,2,2,2,2,2,2,0,2
43,https://doi.org/10.5061/dryad.p236p,2,2,2,2,2,2,2,2,2,0,2
44,https://doi.org/10.5061/dryad.bn960cq,2,2,2,2,2,2,2,2,2,0,2
45,https://doi.org/10.5061/dryad.h35fj,2,2,2,2,2,2,2,2,2,0,2
46,https://doi.org/10.5061/dryad.bp11m,2,2,2,2,2,2,2,2,2,0,2
47,https://doi.org/10.5061/dryad.53mp5ng,2,2,2,2,2,2,2,2,2,0,2
48,https://doi.org/10.5061/dryad.dc863,2,2,2,2,2,2,2,2,2,0,2
49,https://doi.org/10.5061/dryad.1rf7d,2,2,2,2,2,2,2,2,2,0,2
50,https://doi.org/10.5061/dryad.fk41r,2,2,2,2,2,2,2,2,2,0,2
51,https://doi.org/10.5061/dryad.2d7b8,2,2,2,2,2,2,2,2,2,0,2
52,https://doi.org/10.5061/dryad.2nf1v,2,2,2,2,2,2,2,2,2,0,2
53,https://doi.org/10.5061/dryad.5j8p8,2,2,2,2,2,2,2,2,2,0,2
54,https://doi.org/10.5061/dryad.dk51c,2,2,2,2,2,2,2,2,2,0,2
55,https://doi.org/10.5061/dryad.d0779mb,2,2,2,2,2,2,2,2,2,0,2
56,https://doi.org/10.5061/dryad.r578p,2,2,2,2,2,2,2,2,2,0,2
57,https://doi.org/10.5061/dryad.ds21fv5,2,2,2,2,2,2,2,2,2,0,2
58,https://doi.org/10.5061/dryad.hn40n,2,2,2,2,2,2,2,2,2,0,2
59,https://doi.org/10.5061/dryad.8kd16,2,2,2,2,2,2,2,2,2,0,2
60,https://doi.org/10.5061/dryad.cp723,2,2,2,2,2,2,2,2,2,0,2
61,https://doi.org/10.5061/dryad.3fm645g,2,2,2,2,2,2,2,2,2,0,2
62,https://doi.org/10.5061/dryad.n8s6t,2,2,2,2,2,2,2,2,2,0,2
63,https://doi.org/10.5061/dryad.d6108,2,2,2,2,2,2,2,2,2,0,2
64,https://doi.org/10.5061/dryad.m0q5s,2,2,2,2,2,2,2,2,2,0,2
65,https://doi.org/10.5061/dryad.9c0k5,2,2,2,2,2,2,2,2,2,0,2
66,https://doi.org/10.5061/dryad.rh07b,2,2,2,2,2,2,2,2,2,0,2
67,https://doi.org/10.5061/dryad.5jq5t36,2,2,2,2,2,2,2,2,2,0,2
68,https://doi.org/10.5061/dryad.m466f,2,2,2,2,2,2,2,2,2,0,2
69,https://doi.org/10.5061/dryad.8bj97,2,2,2,2,2,2,2,2,2,0,2
70,https://doi.org/10.5061/dryad.ts895r1,2,2,2,2,2,2,2,2,2,0,2
