,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://doi.org/10.5061/dryad.1922,2,2,2,2,2,2,0
1,https://doi.org/10.5061/dryad.r5t8d04,2,2,2,2,2,2,0
2,https://doi.org/10.5061/dryad.fk41r,2,2,2,2,2,2,0
3,https://doi.org/10.5061/dryad.90005,2,2,2,2,2,2,0
4,https://doi.org/10.5061/dryad.00731,2,2,2,2,2,2,0
5,https://doi.org/10.5061/dryad.8pg7963,2,2,2,2,2,2,0
6,https://doi.org/10.5061/dryad.4rn55kq,2,2,2,2,2,2,0
7,https://doi.org/10.5061/dryad.ft3tq32,2,2,2,2,2,2,0
8,https://doi.org/10.5061/dryad.622q4,2,2,2,2,2,2,0
9,https://doi.org/10.5061/dryad.fn627,2,2,2,2,2,2,0
10,https://doi.org/10.5061/dryad.jb79430,2,2,2,2,2,2,0
11,https://doi.org/10.5061/dryad.gk90t,2,2,2,2,2,2,0
12,https://doi.org/10.5061/dryad.689d2,2,2,2,2,2,2,0
13,https://doi.org/10.5061/dryad.d9v38,2,2,2,2,2,2,0
14,https://doi.org/10.5061/dryad.2r79q,2,2,2,2,2,2,0
15,https://doi.org/10.5061/dryad.8ks16,2,2,2,2,2,2,0
16,https://doi.org/10.5061/dryad.3k502,2,2,2,2,2,2,0
17,https://doi.org/10.5061/dryad.r7201,2,2,2,2,2,2,0
18,https://doi.org/10.5061/dryad.88h1m1h,2,2,2,2,2,2,0
19,https://doi.org/10.5061/dryad.7c4g3,2,2,2,2,2,2,0
20,https://doi.org/10.5061/dryad.cc2tc,2,2,2,2,2,2,0
21,https://doi.org/10.5061/dryad.22qc2,2,2,2,2,2,2,0
22,https://doi.org/10.5061/dryad.736cj0j,2,2,2,2,2,2,0
23,https://doi.org/10.5061/dryad.4rp68,2,2,2,2,2,2,0
24,https://doi.org/10.5061/dryad.0bq52,2,2,2,2,2,2,0
25,https://doi.org/10.5061/dryad.r503m,2,2,2,2,2,2,0
26,https://doi.org/10.5061/dryad.bv1g6,2,2,2,2,2,2,0
27,https://doi.org/10.5061/dryad.q447c,2,2,2,2,2,2,0
