,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
0,https://doi.org/10.5061/dryad.0s9j3,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
1,https://doi.org/10.5061/dryad.8n8v3,0.0,0.0,0.01,0.0,0.03,0.0,0.02,0.0,0.01,0.01,0.02
2,https://doi.org/10.5061/dryad.r20t0,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
3,https://doi.org/10.5061/dryad.736cj0j,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
4,https://doi.org/10.5061/dryad.4384p,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.03
5,https://doi.org/10.5061/dryad.dh88c,0.0,0.0,0.12,0.0,0.03,0.0,0.03,0.0,0.01,0.01,0.03
6,https://doi.org/10.5061/dryad.r1921,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
7,https://doi.org/10.5061/dryad.44sf1,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
8,https://doi.org/10.5061/dryad.ns135,0.0,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.01,0.01,0.02
9,https://doi.org/10.5061/dryad.160mp,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
10,https://doi.org/10.5061/dryad.ff1tq,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
11,https://doi.org/10.5061/dryad.qf1dp,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
12,https://doi.org/10.5061/dryad.fp45s43,0.0,0.0,0.02,0.0,0.05,0.0,0.03,0.0,0.01,0.01,0.02
13,https://doi.org/10.5061/dryad.j57c0,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
14,https://doi.org/10.5061/dryad.dk51c,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.03
15,https://doi.org/10.5061/dryad.6kn93,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
16,https://doi.org/10.5061/dryad.s58qh,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
17,https://doi.org/10.5061/dryad.cm86089,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
18,https://doi.org/10.5061/dryad.v1ff0,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
