,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
0,https://doi.org/10.5061/dryad.fp1k7,0.01,0.01,0.02,0.0,0.04,0.0,0.04,0.01,0.02,0.03,0.04
1,https://doi.org/10.5061/dryad.g58k0,0.01,0.01,0.02,0.01,0.12,0.01,0.05,0.01,0.02,0.03,0.04
2,https://doi.org/10.5061/dryad.hs5jt80,0.01,0.01,0.03,0.01,0.05,0.01,0.05,0.01,0.02,0.02,0.03
3,https://doi.org/10.5061/dryad.hm813,0.01,0.01,0.05,0.01,0.09,0.01,0.07,0.01,0.04,0.05,0.09
4,https://doi.org/10.5061/dryad.dn45c,0.01,0.01,0.03,0.01,0.07,0.01,0.15,0.01,0.04,0.05,0.06
5,https://doi.org/10.5061/dryad.755d6,0.01,0.01,0.01,0.0,0.03,0.0,0.05,0.01,0.02,0.03,0.04
6,https://doi.org/10.5061/dryad.k5k30,0.01,0.0,0.02,0.0,0.04,0.01,0.04,0.01,0.02,0.02,0.04
7,https://doi.org/10.5061/dryad.mv66s,0.01,0.01,0.03,0.01,0.06,0.0,0.05,0.01,0.03,0.03,0.04
8,https://doi.org/10.5061/dryad.v7m05,0.01,0.01,0.02,0.01,0.05,0.01,0.04,0.01,0.02,0.03,0.03
9,https://doi.org/10.5061/dryad.rb1bt3j,0.0,0.01,0.02,0.0,0.05,0.01,0.04,0.01,0.02,0.03,0.07
10,https://doi.org/10.5061/dryad.h02q0,0.01,0.0,0.02,0.01,0.05,0.01,0.05,0.01,0.02,0.02,0.05
11,https://doi.org/10.5061/dryad.cd546,0.0,0.01,0.02,0.01,0.05,0.0,0.04,0.01,0.02,0.02,0.04
12,https://doi.org/10.5061/dryad.k3h89,0.01,0.01,0.03,0.01,0.09,0.01,0.11,0.02,0.04,0.04,0.07
13,https://doi.org/10.5061/dryad.8jb83,0.01,0.01,0.05,0.02,0.07,0.01,0.06,0.02,0.03,0.05,0.06
14,https://doi.org/10.5061/dryad.5s77q,0.0,0.0,0.01,0.0,0.06,0.01,0.06,0.01,0.02,0.03,0.05
15,https://doi.org/10.5061/dryad.5j8p8,0.0,0.0,0.02,0.0,0.03,0.01,0.03,0.01,0.02,0.02,0.03
16,https://doi.org/10.5061/dryad.39n4g,0.0,0.0,0.02,0.01,0.06,0.01,0.07,0.01,0.02,0.03,0.05
17,https://doi.org/10.5061/dryad.m6n2t,0.0,0.0,0.03,0.01,0.05,0.01,0.05,0.01,0.05,0.04,0.07
18,https://doi.org/10.5061/dryad.8bj97,0.01,0.01,0.03,0.01,0.07,0.01,0.06,0.01,0.02,0.03,0.07
19,https://doi.org/10.5061/dryad.8s449qb,0.0,0.0,0.03,0.01,0.05,0.0,0.05,0.01,0.06,0.05,0.08
20,https://doi.org/10.5061/dryad.7dm4d,0.01,0.01,0.02,0.0,0.07,0.01,0.05,0.01,0.02,0.02,0.06
21,https://doi.org/10.5061/dryad.b5j25,0.01,0.01,0.02,0.01,0.06,0.01,0.06,0.01,0.02,0.03,0.05
22,https://doi.org/10.5061/dryad.3v55m,0.0,0.01,0.02,0.0,0.12,0.01,0.08,0.01,0.02,0.03,0.05
23,https://doi.org/10.5061/dryad.75b406n,0.01,0.01,0.03,0.01,0.12,0.01,0.1,0.01,0.03,0.03,0.08
24,https://doi.org/10.5061/dryad.f2g14,0.0,0.01,0.02,0.01,0.04,0.0,0.04,0.01,0.02,0.03,0.03
25,https://doi.org/10.5061/dryad.8kd16,0.01,0.01,0.02,0.0,0.04,0.01,0.03,0.01,0.02,0.03,0.04
