,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://doi.org/10.5061/dryad.fq7gv88,0.0,0.01,0.0,0.0,0.01,0.02,0.02
1,https://doi.org/10.5061/dryad.j6823nt,0.0,0.01,0.0,0.0,0.0,0.01,0.01
2,https://doi.org/10.5061/dryad.620cq,0.0,0.01,0.0,0.0,0.0,0.01,0.01
3,https://doi.org/10.5061/dryad.gj3vj,0.0,0.01,0.0,0.0,0.0,0.01,0.01
4,https://doi.org/10.5061/dryad.8qp4n,0.0,0.01,0.0,0.0,0.0,0.01,0.01
5,https://doi.org/10.5061/dryad.34dt1,0.0,0.21,0.0,0.0,0.0,0.01,0.01
6,https://doi.org/10.5061/dryad.87ht5v0,0.0,0.01,0.0,0.0,0.0,0.01,0.02
7,https://doi.org/10.5061/dryad.5jq5t36,0.0,0.01,0.0,0.0,0.0,0.01,0.02
8,https://doi.org/10.5061/dryad.jc247v3,0.0,0.01,0.0,0.0,0.0,0.01,0.01
9,https://doi.org/10.5061/dryad.5m6t4,0.0,0.01,0.0,0.0,0.0,0.01,0.02
10,https://doi.org/10.5061/dryad.712kj7v,0.0,0.01,0.0,0.0,0.0,0.01,0.02
11,https://doi.org/10.5061/dryad.6gc6h,0.0,0.01,0.0,0.0,0.0,0.01,0.01
12,https://doi.org/10.5061/dryad.7n1q4,0.0,0.01,0.0,0.0,0.0,0.01,0.02
13,https://doi.org/10.5061/dryad.610dd,0.0,0.01,0.0,0.0,0.0,0.01,0.02
14,https://doi.org/10.5061/dryad.q70q40m,0.0,0.01,0.0,0.0,0.0,0.01,0.01
15,https://doi.org/10.5061/dryad.7fr20,0.0,0.01,0.0,0.0,0.0,0.01,0.01
16,https://doi.org/10.5061/dryad.tk569,0.0,0.01,0.0,0.0,0.0,0.01,0.01
17,https://doi.org/10.5061/dryad.246qg,0.0,0.01,0.0,0.0,0.0,0.01,0.02
18,https://doi.org/10.5061/dryad.73s46,0.0,0.01,0.0,0.0,0.0,0.01,0.02
19,https://doi.org/10.5061/dryad.6gh7b,0.0,0.01,0.0,0.0,0.0,0.02,0.02
20,https://doi.org/10.5061/dryad.nt22g30,0.0,0.01,0.0,0.0,0.0,0.01,0.01
21,https://doi.org/10.5061/dryad.kv67m,0.0,0.01,0.0,0.0,0.0,0.01,0.01
22,https://doi.org/10.5061/dryad.4k2t07s,0.0,0.01,0.0,0.0,0.0,0.01,0.01
23,https://doi.org/10.5061/dryad.gf80t,0.0,0.01,0.0,0.0,0.0,0.01,0.03
24,https://doi.org/10.5061/dryad.4fn70,0.0,0.01,0.0,0.0,0.0,0.01,0.02
25,https://doi.org/10.5061/dryad.73tj5,0.0,0.01,0.0,0.0,0.0,0.01,0.02
26,https://doi.org/10.5061/dryad.35h8v,0.0,0.01,0.0,0.0,0.0,0.01,0.02
27,https://doi.org/10.5061/dryad.mt048,0.0,0.01,0.0,0.0,0.0,0.01,0.01
28,https://doi.org/10.5061/dryad.t1p7c,0.0,0.01,0.0,0.0,0.0,0.01,0.01
29,https://doi.org/10.5061/dryad.7k4c1,0.0,0.01,0.0,0.0,0.0,0.01,0.01
30,https://doi.org/10.5061/dryad.t51fm80,0.0,0.01,0.0,0.0,0.0,0.01,0.01
31,https://doi.org/10.5061/dryad.83s7k,0.0,0.01,0.0,0.0,0.0,0.01,0.01
32,https://doi.org/10.5061/dryad.31v01,0.0,0.01,0.0,0.0,0.0,0.01,0.01
33,https://doi.org/10.5061/dryad.rr65n,0.0,0.01,0.0,0.0,0.0,0.01,0.01
34,https://doi.org/10.5061/dryad.ms574,0.0,0.01,0.0,0.0,0.0,0.01,0.02
35,https://doi.org/10.5061/dryad.v1ff0,0.0,0.01,0.0,0.0,0.0,0.01,0.02
36,https://doi.org/10.5061/dryad.51110,0.0,0.01,0.0,0.0,0.0,0.01,0.01
37,https://doi.org/10.5061/dryad.hm5vs13,0.0,0.01,0.0,0.0,0.0,0.01,0.01
38,https://doi.org/10.5061/dryad.n5j2m,0.0,0.01,0.0,0.0,0.0,0.01,0.02
39,https://doi.org/10.5061/dryad.69g60,0.0,0.01,0.0,0.0,0.0,0.01,0.01
40,https://doi.org/10.5061/dryad.687q0,0.0,0.01,0.0,0.0,0.0,0.01,0.02
41,https://doi.org/10.5061/dryad.ft94b,0.0,0.01,0.0,0.0,0.0,0.01,0.01
42,https://doi.org/10.5061/dryad.g928q,0.0,0.01,0.0,0.0,0.0,0.01,0.01
43,https://doi.org/10.5061/dryad.54f1jc2,0.0,0.01,0.0,0.0,0.0,0.01,0.02
44,https://doi.org/10.5061/dryad.f0h49,0.0,0.01,0.0,0.0,0.0,0.01,0.02
45,https://doi.org/10.5061/dryad.2hr38,0.0,0.01,0.0,0.0,0.0,0.01,0.01
46,https://doi.org/10.5061/dryad.vd561,0.0,0.01,0.0,0.0,0.0,0.01,0.01
47,https://doi.org/10.5061/dryad.vm525,0.0,0.01,0.0,0.0,0.0,0.01,0.02
