,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
0,https://doi.org/10.1594/PANGAEA.123477,0.0,0.0,0.02,0.0,0.14,0.02,0.14,0.03,0.04,0.06,0.15
1,https://doi.org/10.1594/PANGAEA.570063,0.0,0.0,0.02,0.0,0.07,0.01,0.09,0.01,0.05,0.05,0.12
2,https://doi.org/10.1594/PANGAEA.318757,0.01,0.01,0.03,0.01,0.14,0.01,0.21,0.02,0.04,0.05,0.22
3,https://doi.org/10.1594/PANGAEA.808001,0.01,0.01,0.03,0.01,0.13,0.01,0.12,0.02,0.05,0.04,0.14
4,https://doi.org/10.1594/PANGAEA.380622,0.0,0.01,0.02,0.01,0.08,0.01,0.1,0.01,0.02,0.04,0.09
5,https://doi.org/10.1594/PANGAEA.748986,0.01,0.01,0.02,0.01,0.11,0.01,0.16,0.02,0.04,0.04,0.16
6,https://doi.org/10.1594/PANGAEA.825464,0.01,0.01,0.03,0.01,0.14,0.01,0.12,0.02,0.02,0.04,0.12
7,https://doi.org/10.1594/PANGAEA.752087,0.01,0.01,0.02,0.01,0.18,0.02,0.18,0.02,0.03,0.05,0.17
8,https://doi.org/10.1594/PANGAEA.609729,0.0,0.01,0.02,0.01,0.07,0.01,0.07,0.01,0.02,0.03,0.09
9,https://doi.org/10.1594/PANGAEA.223634,0.01,0.01,0.02,0.01,0.13,0.01,0.14,0.02,0.04,0.05,0.13
10,https://doi.org/10.1594/PANGAEA.315958,0.01,0.01,0.02,0.01,0.08,0.01,0.09,0.01,0.03,0.04,0.1
11,https://doi.org/10.1594/PANGAEA.688502,0.01,0.02,0.05,0.02,0.25,0.04,0.34,0.04,0.06,0.08,0.22
12,https://doi.org/10.1594/PANGAEA.767433,0.01,0.01,0.05,0.01,0.19,0.01,0.22,0.03,0.07,0.1,0.22
13,https://doi.org/10.1594/PANGAEA.806632,0.01,0.01,0.03,0.01,0.11,0.01,0.14,0.02,0.04,0.05,0.13
14,https://doi.org/10.1594/PANGAEA.843730,0.01,0.01,0.02,0.01,0.18,0.01,0.18,0.02,0.02,0.04,0.23
15,https://doi.org/10.1594/PANGAEA.803634,0.01,0.01,0.02,0.01,0.12,0.01,0.12,0.02,0.03,0.04,0.12
16,https://doi.org/10.1594/PANGAEA.132582,0.0,0.0,0.02,0.01,0.07,0.01,0.09,0.01,0.02,0.03,0.11
17,https://doi.org/10.1594/PANGAEA.794193,0.0,0.01,0.02,0.01,0.1,0.01,0.09,0.02,0.02,0.03,0.09
18,https://doi.org/10.1594/PANGAEA.758938,0.0,0.01,0.02,0.01,0.1,0.01,0.08,0.01,0.02,0.04,0.1
19,https://doi.org/10.1594/PANGAEA.146794,0.01,0.01,0.03,0.01,0.09,0.01,0.09,0.01,0.03,0.04,0.09
20,https://doi.org/10.1594/PANGAEA.563142,0.01,0.01,0.03,0.01,0.08,0.0,0.08,0.01,0.03,0.04,0.08
21,https://doi.org/10.1594/PANGAEA.887560,0.01,0.01,0.02,0.01,0.08,0.01,0.08,0.02,0.02,0.05,0.09
22,https://doi.org/10.1594/PANGAEA.719499,0.01,0.01,0.02,0.02,0.1,0.01,0.12,0.03,0.03,0.05,0.15
23,https://doi.pangaea.de/10.1594/PANGAEA.929945,0.01,0.01,0.02,0.01,0.09,0.01,0.1,0.02,0.03,0.04,0.1
24,https://doi.org/10.1594/PANGAEA.759882,0.01,0.01,0.02,0.01,0.11,0.01,0.1,0.02,0.03,0.04,0.12
25,https://doi.org/10.1594/PANGAEA.584076,0.01,0.01,0.02,0.01,0.06,0.01,0.09,0.01,0.03,0.04,0.08
26,https://doi.org/10.1594/PANGAEA.778451,0.01,0.0,0.02,0.0,0.14,0.01,0.16,0.02,0.04,0.03,0.19
27,https://doi.org/10.1594/PANGAEA.880144,0.0,0.01,0.02,0.01,0.1,0.01,0.09,0.02,0.03,0.03,0.08
28,https://doi.org/10.1594/PANGAEA.748502,0.0,0.01,0.01,0.01,0.09,0.01,0.11,0.01,0.02,0.03,0.13
29,https://doi.org/10.1594/PANGAEA.760078,0.01,0.01,0.02,0.01,0.09,0.01,0.1,0.01,0.04,0.04,0.12
30,https://doi.org/10.1594/PANGAEA.868320,0.01,0.01,0.02,0.01,0.08,0.01,0.09,0.01,0.02,0.03,0.09
31,https://doi.org/10.1594/PANGAEA.120031,0.01,0.01,0.02,0.01,0.1,0.01,0.12,0.01,0.03,0.04,0.12
32,https://doi.org/10.1594/PANGAEA.574025,0.0,0.0,0.01,0.01,0.07,0.01,0.07,0.01,0.03,0.03,0.09
33,https://doi.org/10.1594/PANGAEA.740585,0.01,0.01,0.02,0.01,0.09,0.01,0.1,0.01,0.03,0.03,0.1
34,https://doi.org/10.1594/PANGAEA.815496,0.0,0.01,0.02,0.01,0.07,0.01,0.08,0.01,0.03,0.04,0.15
35,https://doi.org/10.1594/PANGAEA.848144,0.01,0.01,0.02,0.01,0.08,0.01,0.09,0.01,0.02,0.04,0.1
36,https://doi.org/10.1594/PANGAEA.843711,0.0,0.01,0.02,0.01,0.11,0.01,0.15,0.02,0.03,0.04,0.15
37,https://doi.org/10.1594/PANGAEA.81082,0.01,0.01,0.02,0.0,0.1,0.01,0.1,0.01,0.02,0.03,0.1
38,https://doi.pangaea.de/10.1594/PANGAEA.823086,0.02,0.01,0.03,0.01,0.22,0.01,0.2,0.03,0.04,0.05,0.27
39,https://doi.org/10.1594/PANGAEA.800350,0.01,0.01,0.02,0.01,0.1,0.01,0.11,0.01,0.02,0.04,0.13
40,https://doi.org/10.1594/PANGAEA.605850,0.01,0.01,0.03,0.01,0.1,0.01,0.12,0.01,0.07,0.11,0.15
41,https://doi.org/10.1594/PANGAEA.564847,0.01,0.01,0.04,0.01,0.13,0.01,0.14,0.01,0.05,0.06,0.12
42,https://doi.org/10.1594/PANGAEA.754454,0.01,0.01,0.02,0.01,0.1,0.01,0.11,0.01,0.04,0.06,0.12
43,https://doi.org/10.1594/PANGAEA.187048,0.0,0.01,0.03,0.01,0.09,0.01,0.09,0.01,0.03,0.04,0.16
44,https://doi.org/10.1594/PANGAEA.747926,0.0,0.0,0.02,0.01,0.11,0.01,0.12,0.02,0.03,0.03,0.15
45,https://doi.org/10.1594/PANGAEA.804562,0.0,0.0,0.02,0.01,0.09,0.01,0.13,0.02,0.04,0.06,0.16
46,https://doi.org/10.1594/PANGAEA.260659,0.0,0.0,0.02,0.01,0.1,0.01,0.1,0.01,0.02,0.03,0.09
47,https://doi.org/10.1594/PANGAEA.835135,0.01,0.01,0.04,0.02,0.17,0.01,0.17,0.02,0.05,0.05,0.16
48,https://doi.pangaea.de/10.1594/PANGAEA.927128,0.01,0.01,0.04,0.01,0.21,0.01,0.41,0.04,0.05,0.07,0.27
49,https://doi.org/10.1594/PANGAEA.832691,0.01,0.01,0.02,0.01,0.08,0.01,0.11,0.01,0.02,0.05,0.15
50,https://doi.org/10.1594/PANGAEA.694386,0.01,0.01,0.03,0.01,0.15,0.02,0.17,0.02,0.04,0.05,0.16
51,https://doi.org/10.1594/PANGAEA.377582,0.01,0.01,0.02,0.01,0.09,0.01,0.08,0.01,0.02,0.03,0.1
52,https://doi.org/10.1594/PANGAEA.847170,0.0,0.01,0.02,0.01,0.05,0.01,0.07,0.01,0.02,0.04,0.08
53,https://doi.org/10.1594/PANGAEA.734072,0.01,0.01,0.04,0.02,0.11,0.01,0.11,0.01,0.04,0.04,0.11
54,https://doi.org/10.1594/PANGAEA.752388,0.01,0.01,0.03,0.01,0.16,0.01,0.16,0.02,0.03,0.04,0.17
55,https://doi.org/10.1594/PANGAEA.219172,0.01,0.01,0.04,0.01,0.13,0.01,0.14,0.02,0.04,0.05,0.18
56,https://doi.org/10.1594/PANGAEA.817297,0.01,0.01,0.02,0.01,0.07,0.01,0.07,0.02,0.03,0.03,0.09
57,https://doi.org/10.1594/PANGAEA.681001,0.01,0.01,0.03,0.01,0.19,0.01,0.21,0.02,0.04,0.05,0.22
58,https://doi.org/10.1594/PANGAEA.878180,0.01,0.02,0.04,0.02,0.25,0.02,0.24,0.04,0.03,0.06,0.26
59,https://doi.org/10.1594/PANGAEA.748995,0.0,0.01,0.02,0.01,0.12,0.01,0.14,0.01,0.03,0.04,0.15
60,https://doi.org/10.1594/PANGAEA.890880,0.01,0.02,0.06,0.02,0.18,0.01,0.17,0.02,0.05,0.08,0.26
61,https://doi.org/10.1594/PANGAEA.118378,0.01,0.01,0.03,0.01,0.68,0.01,0.54,0.04,0.03,0.03,0.53
62,https://doi.org/10.1594/PANGAEA.108667,0.01,0.0,0.02,0.01,0.11,0.01,0.13,0.01,0.03,0.04,0.14
63,https://doi.org/10.1594/PANGAEA.598887,0.01,0.01,0.03,0.01,0.11,0.01,0.11,0.01,0.02,0.04,0.1
64,https://doi.org/10.1594/PANGAEA.384430,0.01,0.01,0.02,0.01,0.1,0.01,0.11,0.02,0.02,0.04,0.11
65,https://doi.org/10.1594/PANGAEA.799309,0.01,0.01,0.02,0.01,0.08,0.01,0.08,0.01,0.03,0.03,0.1
