,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6512008,2,2,2,2,2,2,0
1,https://doi.org/10.5281/zenodo.6503398,2,2,2,2,2,2,0
2,https://doi.org/10.5061/dryad.1c59zw3xn,2,2,2,2,2,2,0
3,https://doi.org/10.5061/dryad.t76hdr837,2,2,2,2,2,2,0
4,https://doi.org/10.5281/zenodo.6510328,2,2,2,2,2,2,0
5,https://doi.org/10.5061/dryad.9cnp5hqmb,2,2,2,2,2,2,0
6,https://doi.org/10.5281/zenodo.6410045,2,2,2,2,2,2,0
7,https://doi.org/10.5061/dryad.9ghx3ffk6,2,2,2,2,2,2,0
8,https://doi.org/10.5281/zenodo.6510209,2,2,2,2,2,0,0
9,https://doi.org/10.5061/dryad.rn8pk0pbm,2,2,2,2,2,2,0
10,https://doi.org/10.5061/dryad.v15dv41xp,2,2,2,2,2,2,0
11,https://doi.org/10.5281/zenodo.6501588,2,2,2,2,2,2,0
12,https://doi.org/10.5061/dryad.9p8cz8wjg,2,2,2,2,2,2,0
13,https://doi.org/10.5281/zenodo.6511227,2,2,2,2,2,2,0
14,https://doi.org/10.5281/zenodo.6503373,2,2,2,2,2,2,0
15,https://doi.org/10.5061/dryad.gtht76hk4,2,2,2,2,2,2,0
16,https://doi.org/10.5281/zenodo.5774920,2,2,2,2,2,2,0
17,https://doi.org/10.5281/zenodo.6505228,2,2,2,2,2,2,0
18,https://doi.org/10.5281/zenodo.6327176,2,2,2,2,2,2,0
19,https://doi.org/10.5281/zenodo.6513108,2,2,2,2,2,2,0
20,https://doi.org/10.5281/zenodo.6501835,2,2,2,2,2,2,0
21,https://doi.org/10.5281/zenodo.6506677,2,2,2,2,2,2,0
22,https://doi.org/10.5061/dryad.mw6m905zp,2,2,2,2,2,2,0
23,https://doi.org/10.5061/dryad.ncjsxksx6,2,2,2,2,2,2,0
24,https://doi.org/10.5281/zenodo.6513298,2,2,2,2,2,2,0
25,https://doi.org/10.5281/zenodo.6503560,2,2,2,2,2,2,0
26,https://doi.org/10.5061/dryad.x3ffbg7mz,2,2,2,2,2,2,0
27,https://doi.org/10.5061/dryad.2ngf1vhqp,2,2,2,2,2,2,0
28,https://doi.org/10.5061/dryad.000000041,2,2,2,2,2,2,0
29,https://doi.org/10.5061/dryad.3bk3j9kjp,2,2,2,2,2,2,0
30,https://doi.org/10.5281/zenodo.6508222,2,2,2,2,2,2,0
31,https://doi.org/10.5281/zenodo.6512213,2,2,2,2,2,2,0
32,https://doi.org/10.5061/dryad.dv41ns1xf,2,2,2,2,2,2,0
33,https://doi.org/10.5281/zenodo.6505847,2,2,2,2,2,2,0
34,https://doi.org/10.5061/dryad.w3r2280t0,2,2,2,2,2,2,0
35,https://doi.org/10.5281/zenodo.6497315,2,2,2,2,2,2,0
36,https://doi.org/10.6078/D12X4Q,2,2,2,2,2,2,0
37,https://doi.org/10.5061/dryad.d7wm37q3j,2,2,2,2,2,2,0
38,https://doi.org/10.5281/zenodo.6509571,2,2,2,2,2,2,0
39,https://doi.org/10.5281/zenodo.6509783,2,2,2,2,2,2,0
40,https://doi.org/10.5281/zenodo.6504905,2,2,2,2,2,2,0
41,https://doi.org/10.5281/zenodo.6499777,2,2,2,2,2,2,0
42,https://doi.org/10.5061/dryad.xwdbrv1g1,2,2,2,2,2,2,0
43,https://doi.org/10.5281/zenodo.6500216,2,2,2,2,2,2,0
44,https://doi.org/10.5281/zenodo.6503346,2,2,2,2,2,2,0
45,https://doi.org/10.5281/zenodo.6421014,2,2,2,2,2,0,0
