,ID,A1.1,F1A,F1B,F2A,F2B,I1,I2,I3,R1.1,R1.2,R1.3
0,https://doi.org/10.5281/zenodo.7197600,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.02,0.02
1,https://doi.org/10.5281/zenodo.7195896,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.01,0.01,0.01,0.02
2,https://doi.org/10.5281/zenodo.7185318,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.02
3,https://doi.org/10.5281/zenodo.7115911,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.01,0.01,0.02,0.02
4,https://doi.org/10.5281/zenodo.7178417,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.01,0.02,0.02,0.02
5,https://doi.org/10.5281/zenodo.7188334,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.01,0.02
6,https://doi.org/10.5281/zenodo.7185365,0.0,0.01,0.01,0.0,0.02,0.01,0.03,0.01,0.02,0.02,0.03
7,https://doi.org/10.5281/zenodo.7180246,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
8,https://doi.org/10.5068/D1PM40,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.01,0.02
9,https://doi.org/10.5281/zenodo.7187354,0.0,0.0,0.01,0.0,0.03,0.01,0.02,0.01,0.01,0.01,0.03
10,https://doi.org/10.5281/zenodo.7187055,0.0,0.0,0.02,0.0,0.03,0.01,0.03,0.01,0.01,0.02,0.02
11,https://doi.org/10.5281/zenodo.7195049,0.0,0.0,0.01,0.0,0.02,0.0,0.02,0.01,0.02,0.02,0.03
12,https://doi.org/10.5281/zenodo.7196632,0.0,0.01,0.01,0.0,0.02,0.0,0.02,0.0,0.01,0.02,0.02
13,https://doi.org/10.5068/D15960,0.0,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.01,0.02,0.03
14,https://doi.org/10.5281/zenodo.7134902,0.0,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.02,0.02,0.02
15,https://doi.org/10.5281/zenodo.7194775,0.0,0.0,0.01,0.01,0.02,0.0,0.02,0.0,0.01,0.02,0.02
16,https://doi.org/10.5061/dryad.905qfttpb,0.01,0.01,0.02,0.01,0.04,0.01,0.05,0.01,0.02,0.02,0.04
17,https://doi.org/10.5281/zenodo.7196700,0.0,0.0,0.01,0.0,0.03,0.0,0.03,0.01,0.01,0.01,0.03
18,https://doi.org/10.5281/zenodo.7189315,0.0,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.03
19,https://doi.org/10.5281/zenodo.7186855,0.0,0.0,0.02,0.0,0.03,0.01,0.03,0.01,0.01,0.02,0.03
20,https://doi.org/10.5061/dryad.np5hqbzx9,0.01,0.01,0.03,0.01,0.05,0.01,0.05,0.01,0.02,0.03,0.05
21,https://doi.org/10.5061/dryad.59zw3r2bg,0.0,0.01,0.02,0.01,0.05,0.01,0.05,0.01,0.02,0.02,0.04
22,https://doi.org/10.5281/zenodo.7183401,0.01,0.0,0.01,0.0,0.02,0.0,0.03,0.0,0.01,0.02,0.02
23,https://doi.org/10.5281/zenodo.7180070,0.01,0.01,0.03,0.01,0.05,0.01,0.04,0.01,0.02,0.02,0.04
24,https://doi.org/10.5281/zenodo.7198447,0.0,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.02,0.02
25,https://doi.org/10.5281/zenodo.7181714,0.0,0.0,0.01,0.0,0.02,0.01,0.03,0.01,0.01,0.02,0.02
26,https://doi.org/10.5281/zenodo.7177592,0.0,0.01,0.02,0.0,0.04,0.01,0.04,0.01,0.01,0.02,0.04
