,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6497957,2,2,2,2,2,0,2,2,2,0
1,https://doi.org/10.5281/zenodo.6486795,2,2,2,2,2,0,2,2,2,0
2,https://doi.org/10.5281/zenodo.6489219,2,2,2,2,2,0,2,2,2,0
3,https://doi.org/10.5281/zenodo.6499149,2,2,2,2,2,0,2,2,2,0
4,https://doi.org/10.5281/zenodo.6486840,2,2,2,2,2,0,2,2,2,0
5,https://doi.org/10.5281/zenodo.6499075,2,2,2,2,2,0,2,2,2,0
6,https://doi.org/10.5281/zenodo.6495178,2,2,2,2,2,0,2,2,2,0
7,https://doi.org/10.5281/zenodo.6497184,2,2,2,2,2,0,2,2,2,0
8,https://doi.org/10.5281/zenodo.6486410,2,2,2,2,2,0,2,2,2,0
9,https://doi.org/10.5281/zenodo.6478808,2,2,2,2,2,0,2,2,2,0
10,https://doi.org/10.5281/zenodo.6489032,2,2,2,2,2,0,2,2,2,0
11,https://doi.org/10.5281/zenodo.6487588,2,2,2,2,2,0,2,2,2,0
12,https://doi.org/10.5281/zenodo.6492577,2,2,2,2,2,0,2,2,2,0
13,https://doi.org/10.5281/zenodo.6487536,2,2,2,2,2,0,2,2,2,0
14,https://doi.org/10.5281/zenodo.6497329,2,2,2,2,2,0,2,2,2,0
15,https://doi.org/10.5281/zenodo.6497411,2,2,2,2,2,0,2,2,2,0
16,https://doi.org/10.5281/zenodo.6498159,2,2,2,2,2,0,2,2,2,0
17,https://doi.org/10.5281/zenodo.6499683,2,2,2,2,2,0,2,2,2,0
18,https://doi.org/10.5281/zenodo.6486829,2,2,2,2,2,0,2,2,2,0
19,https://doi.org/10.5281/zenodo.6496244,2,2,2,2,2,0,2,2,2,0
20,https://doi.org/10.5281/zenodo.6496570,2,2,2,2,2,0,2,2,2,0
21,https://doi.org/10.5281/zenodo.6487558,2,2,2,2,2,0,2,2,2,0
22,https://doi.org/10.5281/zenodo.6499203,2,2,2,2,2,0,2,2,2,0
23,https://doi.org/10.5281/zenodo.6496662,2,2,2,2,2,0,2,2,2,0
24,https://doi.org/10.5281/zenodo.6494700,2,2,2,2,2,0,2,2,2,0
25,https://doi.org/10.5281/zenodo.6498178,2,2,2,2,2,0,2,2,2,0
26,https://doi.org/10.5281/zenodo.6493856,2,2,2,2,2,0,2,2,2,0
27,https://doi.org/10.5281/zenodo.6497861,2,2,2,2,2,0,2,2,2,0
28,https://doi.org/10.5281/zenodo.6486404,2,2,2,2,2,0,2,2,2,0
29,https://doi.org/10.5281/zenodo.6485506,2,2,2,2,2,0,2,2,2,0
30,https://doi.org/10.5281/zenodo.6494328,2,2,2,2,2,0,2,2,2,0
31,https://doi.org/10.5281/zenodo.6499834,2,2,2,2,2,0,2,2,2,0
32,https://doi.org/10.5281/zenodo.6490197,2,2,2,2,2,0,2,2,2,0
33,https://doi.org/10.5281/zenodo.6486407,2,2,2,2,2,0,2,2,2,0
34,https://doi.org/10.5281/zenodo.6485889,2,2,2,2,2,0,2,2,2,0
35,https://doi.org/10.5281/zenodo.6496586,2,2,2,2,2,0,2,2,2,0
36,https://doi.org/10.5281/zenodo.6499392,2,2,2,2,2,0,2,2,2,0
37,https://doi.org/10.5281/zenodo.6486678,2,2,2,2,2,0,2,2,2,0
38,https://doi.org/10.5281/zenodo.6492630,2,2,2,2,2,0,2,2,2,0
39,https://doi.org/10.5281/zenodo.6490310,2,2,2,2,2,0,2,2,2,0
40,https://doi.org/10.5281/zenodo.6493051,2,2,2,2,2,0,2,2,2,0
41,https://doi.org/10.5281/zenodo.6496748,2,2,2,2,2,0,2,2,2,0
42,https://doi.org/10.5281/zenodo.6491379,2,2,2,2,2,0,2,2,2,0
43,https://doi.org/10.5281/zenodo.6490996,2,2,2,2,2,0,2,2,2,0
44,https://doi.org/10.5281/zenodo.6487443,2,2,2,2,2,0,2,2,2,0
45,https://doi.org/10.5281/zenodo.6416236,2,2,2,2,2,0,2,2,2,0
46,https://doi.org/10.5281/zenodo.6487292,2,2,2,2,2,0,2,2,2,0
47,https://doi.org/10.5281/zenodo.6489150,2,2,2,2,2,0,2,2,2,0
48,https://doi.org/10.5281/zenodo.6500497,2,2,2,2,2,0,2,2,2,0
49,https://doi.org/10.5281/zenodo.6496287,2,2,2,2,2,0,2,2,2,0
50,https://doi.org/10.5281/zenodo.6487675,2,2,2,2,2,0,2,2,2,0
51,https://doi.org/10.5281/zenodo.6488493,2,2,2,2,2,0,2,2,2,0
52,https://doi.org/10.5281/zenodo.6499863,2,2,2,2,2,0,2,2,2,0
53,https://doi.org/10.5281/zenodo.6497116,2,2,2,2,2,0,2,2,2,0
54,https://doi.org/10.5281/zenodo.6499627,2,2,2,2,2,0,2,2,2,0
55,https://doi.org/10.5281/zenodo.6499275,2,2,2,2,2,0,2,2,2,0
