,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6499066,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1,https://doi.org/10.5281/zenodo.6488318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2,https://doi.org/10.5281/zenodo.6498929,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
3,https://doi.org/10.5281/zenodo.6496675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
4,https://doi.org/10.5281/zenodo.6490087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
5,https://doi.org/10.5281/zenodo.6490945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
6,https://doi.org/10.5281/zenodo.6499628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
7,https://doi.org/10.5281/zenodo.6500086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
8,https://doi.org/10.5281/zenodo.6497544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
9,https://doi.org/10.5281/zenodo.6491979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
10,https://doi.org/10.5281/zenodo.6498777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
11,https://doi.org/10.5281/zenodo.6499564,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
12,https://doi.org/10.5281/zenodo.6499875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
13,https://doi.org/10.5281/zenodo.6494044,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
14,https://doi.org/10.5281/zenodo.6494269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
15,https://doi.org/10.5281/zenodo.6494835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
16,https://doi.org/10.5281/zenodo.6496927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
17,https://doi.org/10.5281/zenodo.6483177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
18,https://doi.org/10.5281/zenodo.6491069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
19,https://doi.org/10.5281/zenodo.6498019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
20,https://doi.org/10.5281/zenodo.6486428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
21,https://doi.org/10.5281/zenodo.6498864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
22,https://doi.org/10.5281/zenodo.6491095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
23,https://doi.org/10.5281/zenodo.6497306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
24,https://doi.org/10.5281/zenodo.6496480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
25,https://doi.org/10.5281/zenodo.6485937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
26,https://doi.org/10.5281/zenodo.6418675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
27,https://doi.org/10.5281/zenodo.6486414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
28,https://doi.org/10.5281/zenodo.6491340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
29,https://doi.org/10.5281/zenodo.6499025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
30,https://doi.org/10.5281/zenodo.6494812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
31,https://doi.org/10.5281/zenodo.6487950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
32,https://doi.org/10.5281/zenodo.6491940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
33,https://doi.org/10.5281/zenodo.6488071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
34,https://doi.org/10.5281/zenodo.6496624,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
35,https://doi.org/10.5281/zenodo.6496555,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
36,https://doi.org/10.5281/zenodo.6497491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
37,https://doi.org/10.5281/zenodo.6498920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
38,https://doi.org/10.5281/zenodo.6487966,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
39,https://doi.org/10.5281/zenodo.6489014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
40,https://doi.org/10.5281/zenodo.6270596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
41,https://doi.org/10.5281/zenodo.6486165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
42,https://doi.org/10.5281/zenodo.6496845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
43,https://doi.org/10.5281/zenodo.6493203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
44,https://doi.org/10.5281/zenodo.6500248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
45,https://doi.org/10.5281/zenodo.6492383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
46,https://doi.org/10.5281/zenodo.6499422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
47,https://doi.org/10.5281/zenodo.6489338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
48,https://doi.org/10.5281/zenodo.6498226,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
49,https://doi.org/10.5281/zenodo.6487700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
50,https://doi.org/10.5281/zenodo.6384330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
51,https://doi.org/10.5281/zenodo.6496819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
52,https://doi.org/10.5281/zenodo.6499353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
53,https://doi.org/10.5281/zenodo.6498204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
