,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://doi.org/10.1594/PANGAEA.267096,2,2,2,2,2,0,2,2,2,0
1,https://doi.org/10.1594/PANGAEA.871539,2,2,2,2,2,0,2,2,2,0
2,https://doi.org/10.1594/PANGAEA.358153,2,2,2,2,2,0,2,2,2,0
3,https://doi.org/10.1594/PANGAEA.265829,2,2,2,2,2,0,2,2,2,0
4,https://doi.pangaea.de/10.1594/PANGAEA.770225,2,2,2,2,2,0,2,2,0,0
5,https://doi.org/10.1594/PANGAEA.844321,2,2,2,2,2,0,2,2,2,0
6,https://doi.org/10.1594/PANGAEA.863399,2,2,2,2,2,0,2,2,0,0
7,https://doi.org/10.1594/PANGAEA.836929,2,2,2,2,2,0,2,2,2,0
8,https://doi.org/10.1594/PANGAEA.830271,2,2,2,2,2,0,2,2,2,0
9,https://doi.org/10.1594/PANGAEA.813253,2,2,2,2,2,0,2,2,2,0
10,https://doi.org/10.1594/PANGAEA.739579,2,2,2,2,2,0,2,2,0,0
11,https://doi.org/10.1594/PANGAEA.773195,2,2,2,2,2,0,2,2,2,0
12,https://doi.org/10.1594/PANGAEA.53025,2,2,2,2,2,0,2,2,2,0
13,https://doi.org/10.1594/PANGAEA.605931,2,2,2,2,2,0,2,2,0,0
14,https://doi.org/10.1594/PANGAEA.879676,2,2,2,2,2,0,2,2,0,0
15,https://doi.org/10.1594/PANGAEA.585494,2,2,2,2,2,0,2,2,0,0
16,https://doi.org/10.1594/PANGAEA.423582,2,2,2,2,2,0,2,2,2,0
17,https://doi.org/10.1594/PANGAEA.580400,2,2,2,2,2,0,2,2,0,0
18,https://doi.org/10.1594/PANGAEA.807777,2,2,2,2,2,0,2,2,2,0
19,https://doi.org/10.1594/PANGAEA.775469,2,2,2,2,2,0,2,2,2,0
20,https://doi.org/10.1594/PANGAEA.583200,2,2,2,2,2,0,2,2,0,0
21,https://doi.org/10.1594/PANGAEA.420677,2,2,2,2,2,0,2,2,2,0
22,https://doi.org/10.1594/PANGAEA.665411,2,2,2,2,2,0,2,2,2,0
23,https://doi.org/10.1594/PANGAEA.664981,2,2,2,2,2,0,2,2,2,0
24,https://doi.org/10.1594/PANGAEA.422197,2,2,2,2,2,0,2,2,2,0
25,https://doi.org/10.1594/PANGAEA.937775,2,2,2,2,2,0,2,2,2,0
26,https://doi.org/10.1594/PANGAEA.78885,2,2,2,2,2,0,2,2,2,0
27,https://doi.org/10.1594/PANGAEA.823450,2,2,2,2,2,0,2,2,0,0
28,https://doi.org/10.1594/PANGAEA.904618,2,2,2,2,2,0,2,2,2,0
29,https://doi.org/10.1594/PANGAEA.396668,2,2,2,2,2,0,2,2,2,0
30,https://doi.org/10.1594/PANGAEA.451830,2,2,2,2,2,0,2,2,2,0
31,https://doi.org/10.1594/PANGAEA.663471,2,2,2,2,2,0,2,2,2,0
32,https://doi.org/10.1594/PANGAEA.580956,2,2,2,2,2,0,2,2,0,0
33,https://doi.org/10.1594/PANGAEA.609592,2,2,2,2,2,0,2,2,0,0
34,https://doi.org/10.1594/PANGAEA.148448,2,2,2,2,2,0,2,2,0,0
35,https://doi.org/10.1594/PANGAEA.148386,2,2,2,2,2,0,2,2,0,0
36,https://doi.org/10.1594/PANGAEA.676087,2,2,2,2,2,0,2,2,0,0
37,https://doi.org/10.1594/PANGAEA.688919,2,2,2,2,2,0,2,2,2,0
38,https://doi.org/10.1594/PANGAEA.705580,2,2,2,2,2,0,2,2,2,0
39,https://doi.org/10.1594/PANGAEA.260620,2,2,2,2,2,0,2,2,2,0
40,https://doi.org/10.1594/PANGAEA.206799,2,2,2,2,2,0,2,2,2,0
41,https://doi.org/10.1594/PANGAEA.145043,2,2,2,2,2,0,2,2,2,0
42,https://doi.org/10.1594/PANGAEA.801611,2,2,2,2,2,0,2,2,2,0
43,https://doi.org/10.1594/PANGAEA.929354,2,2,2,2,2,0,2,2,2,0
44,https://doi.org/10.1594/PANGAEA.791179,2,2,2,2,2,0,2,2,2,0
45,https://doi.org/10.1594/PANGAEA.822419,2,2,2,2,2,0,2,2,2,0
46,https://doi.org/10.1594/PANGAEA.572031,2,2,2,2,2,0,2,2,0,0
47,https://doi.org/10.1594/PANGAEA.256254,2,2,2,2,2,0,2,2,2,0
48,https://doi.org/10.1594/PANGAEA.750063,2,2,2,2,2,0,2,2,2,0
49,https://doi.org/10.1594/PANGAEA.229339,2,2,2,2,2,0,2,2,2,0
50,https://doi.org/10.1594/PANGAEA.569186,2,2,2,2,2,0,2,2,0,0
51,https://doi.org/10.1594/PANGAEA.747957,2,2,2,2,2,0,2,2,2,0
52,https://doi.org/10.1594/PANGAEA.569200,2,2,2,2,2,0,2,2,0,0
53,https://doi.org/10.1594/PANGAEA.732923,2,2,2,2,2,0,2,2,2,0
54,https://doi.org/10.1594/PANGAEA.322149,2,2,2,2,2,0,2,2,2,0
55,https://doi.org/10.1594/PANGAEA.269825,2,2,2,2,2,0,2,2,2,0
56,https://doi.org/10.1594/PANGAEA.120908,2,2,2,2,2,0,2,2,2,0
57,https://doi.org/10.1594/PANGAEA.381942,2,2,2,2,2,0,2,2,2,0
58,https://doi.org/10.1594/PANGAEA.860002,2,2,2,2,2,0,2,2,2,0
59,https://doi.org/10.1594/PANGAEA.927472,2,2,2,2,2,0,2,2,2,0
60,https://doi.org/10.1594/PANGAEA.729764,2,2,2,2,2,0,2,2,2,0
61,https://doi.org/10.1594/PANGAEA.425365,2,2,2,2,2,0,2,2,2,0
62,https://doi.org/10.1594/PANGAEA.665882,2,2,2,2,2,0,2,2,2,0
63,https://doi.org/10.1594/PANGAEA.689295,2,2,2,2,2,0,2,2,2,0
64,https://doi.org/10.1594/PANGAEA.798832,2,2,2,2,2,0,2,2,2,0
65,https://doi.pangaea.de/10.1594/PANGAEA.830522,2,2,2,2,2,0,2,2,0,0
66,https://doi.org/10.1594/PANGAEA.693117,2,2,2,2,2,0,2,2,2,0
67,https://doi.org/10.1594/PANGAEA.585504,2,2,2,2,2,0,2,2,0,0
68,https://doi.org/10.1594/PANGAEA.103673,2,2,2,2,2,0,2,2,2,0
69,https://doi.pangaea.de/10.1594/PANGAEA.939842,2,2,2,2,2,0,2,2,0,0
70,https://doi.org/10.1594/PANGAEA.819172,2,2,2,2,2,0,2,2,2,0
71,https://doi.org/10.1594/PANGAEA.605697,2,2,2,2,2,0,2,2,0,0
72,https://doi.org/10.1594/PANGAEA.87413,2,2,2,2,2,0,2,2,2,0
73,https://doi.org/10.1594/PANGAEA.828897,2,2,2,2,2,0,2,2,2,0
74,https://doi.org/10.1594/PANGAEA.402473,2,2,2,2,2,0,2,2,2,0
75,https://doi.org/10.1594/PANGAEA.858644,2,2,2,2,2,0,2,2,2,0
76,https://doi.org/10.1594/PANGAEA.266966,2,2,2,2,2,0,2,2,2,0
77,https://doi.org/10.1594/PANGAEA.559617,2,2,2,2,2,0,2,2,0,0
78,https://doi.org/10.1594/PANGAEA.432007,2,2,2,2,2,0,2,2,2,0
79,https://doi.org/10.1594/PANGAEA.816475,2,2,2,2,2,0,2,2,2,0
80,https://doi.org/10.1594/PANGAEA.55145,2,2,2,2,2,0,2,2,2,0
81,https://doi.org/10.1594/PANGAEA.882943,2,2,2,2,2,0,2,2,2,0
82,https://doi.org/10.1594/PANGAEA.119204,2,2,2,2,2,0,2,2,2,0
83,https://doi.org/10.1594/PANGAEA.794238,2,2,2,2,2,0,2,2,2,0
84,https://doi.org/10.1594/PANGAEA.375875,2,2,2,2,2,0,2,2,2,0
85,https://doi.org/10.1594/PANGAEA.174892,2,2,2,2,2,0,2,2,2,0
86,https://doi.org/10.1594/PANGAEA.920015,2,2,2,2,2,0,2,2,2,0
87,https://doi.org/10.1594/PANGAEA.843036,2,2,2,2,2,0,2,2,2,0
88,https://doi.org/10.1594/PANGAEA.406128,2,2,2,2,2,0,2,2,2,0
89,https://doi.org/10.1594/PANGAEA.821277,2,2,2,2,2,0,2,2,2,0
