,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6480253,2,2,2,2,2,0,2,2,2,0
1,https://doi.org/10.5281/zenodo.6426921,2,2,2,2,2,0,2,2,2,0
2,https://doi.org/10.5281/zenodo.6481329,2,2,2,2,2,0,2,2,2,0
3,https://doi.org/10.5281/zenodo.6482209,2,2,2,2,2,0,2,2,2,0
4,https://doi.org/10.5281/zenodo.6480110,2,2,2,2,2,0,2,2,2,0
5,https://doi.org/10.5281/zenodo.6482155,2,2,2,2,2,0,2,2,2,0
6,https://doi.org/10.5281/zenodo.6360730,2,2,2,2,2,0,2,2,2,0
7,https://doi.org/10.5281/zenodo.6481355,2,2,2,2,2,0,2,2,2,0
8,https://doi.org/10.5281/zenodo.6481401,2,2,2,2,2,0,2,2,2,0
9,https://doi.org/10.5281/zenodo.6481280,2,2,2,2,2,0,2,2,2,0
10,https://doi.org/10.5281/zenodo.6481950,2,2,2,2,2,0,2,2,2,0
11,https://doi.org/10.5281/zenodo.6480549,2,2,2,2,2,0,2,2,2,0
12,https://doi.org/10.5281/zenodo.6481813,2,2,2,2,2,0,2,2,2,0
13,https://doi.org/10.5281/zenodo.6482283,2,2,2,2,2,0,2,2,2,0
14,https://doi.org/10.5281/zenodo.6480740,2,2,2,2,2,0,2,2,2,0
15,https://doi.org/10.5281/zenodo.6481052,2,2,2,2,2,0,2,2,2,0
16,https://doi.org/10.5281/zenodo.6482179,2,2,2,2,2,0,2,2,2,0
17,https://doi.org/10.5281/zenodo.6482377,2,2,2,2,2,0,2,2,2,0
18,https://doi.org/10.5281/zenodo.6481835,2,2,2,2,2,0,2,2,2,0
19,https://doi.org/10.5281/zenodo.6481278,2,2,2,2,2,0,2,2,2,0
20,https://doi.org/10.5281/zenodo.6481744,2,2,2,2,2,0,2,2,2,0
21,https://doi.org/10.5281/zenodo.6482215,2,2,2,2,2,0,2,2,2,0
22,https://doi.org/10.5281/zenodo.6480624,2,2,2,2,2,0,2,2,2,0
23,https://doi.org/10.5281/zenodo.6480653,2,2,2,2,2,0,2,2,2,0
24,https://doi.org/10.11646/zootaxa.5128.4.4,2,0,2,2,2,0,2,0,0,0
25,https://doi.org/10.5281/zenodo.6479318,2,2,2,2,2,0,2,2,2,0
26,https://doi.org/10.5281/zenodo.6480245,2,2,2,2,2,0,2,2,2,0
27,https://doi.org/10.5281/zenodo.6482186,2,2,2,2,2,0,2,2,2,0
28,https://doi.org/10.5281/zenodo.6481195,2,2,2,2,2,0,2,2,2,0
29,https://doi.org/10.5281/zenodo.6479593,2,2,2,2,2,0,2,2,2,0
30,https://doi.org/10.5281/zenodo.6358315,2,2,2,2,2,0,2,2,2,0
31,https://doi.org/10.5281/zenodo.6479257,2,2,2,2,2,0,2,2,2,0
32,https://doi.org/10.5281/zenodo.6481351,2,2,2,2,2,0,2,2,2,0
33,https://doi.org/10.5281/zenodo.6479527,2,2,2,2,2,0,2,2,2,0
34,https://doi.org/10.5281/zenodo.6482800,2,2,2,2,2,0,2,2,2,0
35,https://doi.org/10.15802/stp2016/77990,2,0,0,0,0,0,0,0,0,0
36,https://doi.org/10.5281/zenodo.6480403,2,2,2,2,2,0,2,2,2,0
37,https://doi.org/10.5281/zenodo.6482651,2,2,2,2,2,0,2,2,2,0
38,https://doi.org/10.5281/zenodo.6481614,2,2,2,2,2,0,2,2,2,0
39,https://doi.org/10.5281/zenodo.6481652,2,2,2,2,2,0,2,2,2,0
40,https://doi.org/10.5281/zenodo.6192479,2,2,2,2,2,0,2,2,2,0
41,https://doi.org/10.5281/zenodo.6482456,2,2,2,2,2,0,2,2,2,0
42,https://doi.org/10.5281/zenodo.6479314,2,2,2,2,2,0,2,2,2,0
43,https://doi.org/10.5281/zenodo.6481313,2,2,2,2,2,0,2,2,2,0
44,https://doi.org/10.5281/zenodo.6481432,2,2,2,2,2,0,2,2,2,0
45,https://doi.org/10.11646/phytotaxa.543.4.2,0,0,0,0,0,0,0,0,0,0
46,https://doi.org/10.5281/zenodo.6482231,2,2,2,2,2,0,2,2,2,0
47,https://doi.org/10.15802/stp2016/67295,2,0,0,0,0,0,0,0,0,0
48,https://doi.org/10.5281/zenodo.6481153,2,2,2,2,2,0,2,2,2,0
49,https://doi.org/10.5281/zenodo.6480598,2,2,2,2,2,0,2,2,2,0
50,https://doi.org/10.5281/zenodo.6481958,2,2,2,2,2,0,2,2,2,0
51,https://doi.org/10.5281/zenodo.6480352,2,2,2,2,2,0,2,2,2,0
52,https://doi.org/10.5281/zenodo.6481056,2,2,2,2,2,0,2,2,2,0
53,https://doi.org/10.5281/zenodo.6481810,2,2,2,2,2,0,2,2,2,0
54,https://doi.org/10.5281/zenodo.6481064,2,2,2,2,2,0,2,2,2,0
55,https://doi.org/10.5281/zenodo.6479206,2,2,2,2,2,0,2,2,2,0
56,https://doi.org/10.5281/zenodo.6480796,2,2,2,2,2,0,2,2,2,0
57,https://doi.org/10.5281/zenodo.6481121,2,2,2,2,2,0,2,2,2,0
58,https://doi.org/10.5281/zenodo.6482557,2,2,2,2,2,0,2,2,2,0
59,https://doi.org/10.5281/zenodo.6479599,2,2,2,2,2,0,2,2,2,0
60,https://doi.org/10.5281/zenodo.6479253,2,2,2,2,2,0,2,2,2,0
