,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6487113,2,2,2,2,2,0,2,2,2,0
1,https://doi.org/10.5281/zenodo.6489030,2,2,2,2,2,0,2,2,2,0
2,https://doi.org/10.5281/zenodo.6488100,2,2,2,2,2,0,2,2,2,0
3,https://doi.org/10.5281/zenodo.6488871,2,2,2,2,2,0,2,2,2,0
4,https://doi.org/10.5281/zenodo.6487035,2,2,2,2,2,0,2,2,2,0
5,https://doi.org/10.5281/zenodo.6488817,2,2,2,2,2,0,2,2,2,0
6,https://doi.org/10.5281/zenodo.6488437,2,2,2,2,2,0,2,2,2,0
7,https://doi.org/10.5281/zenodo.6488126,2,2,2,2,2,0,2,2,2,0
8,https://doi.org/10.5281/zenodo.6488187,2,2,2,2,2,0,2,2,2,0
9,https://doi.org/10.5281/zenodo.6488083,2,2,2,2,2,0,2,2,2,0
10,https://doi.org/10.5281/zenodo.6488646,2,2,2,2,2,0,2,2,2,0
11,https://doi.org/10.5281/zenodo.6487306,2,2,2,2,2,0,2,2,2,0
12,https://doi.org/10.5281/zenodo.6488616,2,2,2,2,2,0,2,2,2,0
13,https://doi.org/10.5281/zenodo.6488923,2,2,2,2,2,0,2,2,2,0
14,https://doi.org/10.5281/zenodo.6327362,2,2,2,2,2,0,2,2,2,0
15,https://doi.org/10.5281/zenodo.6487857,2,2,2,2,2,0,2,2,2,0
16,https://doi.org/10.5281/zenodo.6488847,2,2,2,2,2,0,2,2,2,0
17,https://doi.org/10.5281/zenodo.6487618,2,2,2,2,2,0,2,2,0,0
18,https://doi.org/10.5281/zenodo.6488630,2,2,2,2,2,0,2,2,2,0
19,https://doi.org/10.5281/zenodo.6488057,2,2,2,2,2,0,2,2,2,0
20,https://doi.org/10.5281/zenodo.6488548,2,2,2,2,2,0,2,2,2,0
21,https://doi.org/10.5281/zenodo.6488786,2,2,2,2,2,0,2,2,2,0
22,https://doi.org/10.5281/zenodo.6487225,2,2,2,2,2,0,2,2,2,0
23,https://doi.org/10.5281/zenodo.6487426,2,2,2,2,2,0,2,2,2,0
24,https://doi.org/10.6001/energetika.v67i1.4533,2,0,0,0,0,0,0,0,0,0
25,https://doi.org/10.5281/zenodo.6486727,2,2,2,2,2,0,2,2,2,0
