,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6480253,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.03
1,https://doi.org/10.5281/zenodo.6426921,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.01
2,https://doi.org/10.5281/zenodo.6481329,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
3,https://doi.org/10.5281/zenodo.6482209,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02
4,https://doi.org/10.5281/zenodo.6480110,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02
5,https://doi.org/10.5281/zenodo.6482155,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
6,https://doi.org/10.5281/zenodo.6360730,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
7,https://doi.org/10.5281/zenodo.6481355,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.01,0.02
8,https://doi.org/10.5281/zenodo.6481401,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.01
9,https://doi.org/10.5281/zenodo.6481280,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02
10,https://doi.org/10.5281/zenodo.6481950,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
11,https://doi.org/10.5281/zenodo.6480549,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.0,0.01,0.02
12,https://doi.org/10.5281/zenodo.6481813,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
13,https://doi.org/10.5281/zenodo.6482283,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
14,https://doi.org/10.5281/zenodo.6480740,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02
15,https://doi.org/10.5281/zenodo.6481052,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
16,https://doi.org/10.5281/zenodo.6482179,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
17,https://doi.org/10.5281/zenodo.6482377,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
18,https://doi.org/10.5281/zenodo.6481835,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
19,https://doi.org/10.5281/zenodo.6481278,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
20,https://doi.org/10.5281/zenodo.6481744,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
21,https://doi.org/10.5281/zenodo.6482215,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
22,https://doi.org/10.5281/zenodo.6480624,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
23,https://doi.org/10.5281/zenodo.6480653,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
24,https://doi.org/10.11646/zootaxa.5128.4.4,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
25,https://doi.org/10.5281/zenodo.6479318,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
26,https://doi.org/10.5281/zenodo.6480245,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
27,https://doi.org/10.5281/zenodo.6482186,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
28,https://doi.org/10.5281/zenodo.6481195,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
29,https://doi.org/10.5281/zenodo.6479593,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02
30,https://doi.org/10.5281/zenodo.6358315,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02
31,https://doi.org/10.5281/zenodo.6479257,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
