,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6444046,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02
1,https://doi.org/10.5281/zenodo.6433086,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02
2,https://doi.org/10.5281/zenodo.6424839,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02
3,https://doi.org/10.5281/zenodo.6417763,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03
4,https://doi.org/10.5281/zenodo.6426160,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.03
5,https://doi.org/10.5061/dryad.2547d7wqd,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.03
6,https://doi.org/10.5281/zenodo.6372120,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02
7,https://doi.org/10.5281/zenodo.6424827,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02
8,https://doi.org/10.5281/zenodo.6426024,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.03
9,https://doi.org/10.5281/zenodo.6424722,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.03
10,https://doi.org/10.5281/zenodo.6421086,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03
11,https://doi.org/10.5281/zenodo.5734908,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.02
12,https://doi.org/10.5281/zenodo.6434065,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.02
13,https://doi.org/10.5281/zenodo.6426889,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.02
14,https://doi.org/10.5281/zenodo.6424817,0.0,0.03,0.0,0.0,0.0,0.05,0.0,0.01,0.03,0.07
15,https://doi.org/10.5281/zenodo.6333546,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
16,https://doi.org/10.5281/zenodo.6417952,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.03
17,https://doi.org/10.5281/zenodo.6416126,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03
18,https://doi.org/10.5061/dryad.63xsj3v4g,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.01,0.02,0.05
19,https://doi.org/10.5281/zenodo.6414008,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.02,0.01,0.02
20,https://doi.org/10.5281/zenodo.6418414,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.03
