,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6487581,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1,https://doi.org/10.5281/zenodo.6488369,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
2,https://doi.org/10.5281/zenodo.6327243,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
3,https://doi.org/10.5281/zenodo.6489162,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
4,https://doi.org/10.5281/zenodo.6486896,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
5,https://doi.org/10.5281/zenodo.6488526,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
6,https://doi.org/10.5281/zenodo.6488736,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
7,https://doi.org/10.5281/zenodo.6489168,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
8,https://doi.org/10.5281/zenodo.6486942,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
9,https://doi.org/10.12775/JEHS.2022.12.06.001,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
10,https://doi.org/10.5281/zenodo.6302591,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
11,https://doi.org/10.5281/zenodo.6487171,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
12,https://doi.org/10.5281/zenodo.6486858,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
13,https://doi.org/10.5281/zenodo.6486928,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
14,https://doi.org/10.5281/zenodo.6489180,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
15,https://doi.org/10.11646/zootaxa.5129.1.8,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
16,https://doi.org/10.5281/zenodo.6486910,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
17,https://doi.org/10.5281/zenodo.6489098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
18,https://doi.org/10.5281/zenodo.6346853,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
19,https://doi.org/10.5281/zenodo.6487165,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
20,https://doi.org/10.5281/zenodo.6486666,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
21,https://doi.org/10.5281/zenodo.6487163,0.0,0.12,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
22,https://doi.org/10.5281/zenodo.6487417,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02
23,https://doi.org/10.5281/zenodo.6488249,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
24,https://doi.org/10.5281/zenodo.6487989,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
25,https://doi.org/10.5281/zenodo.6486940,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
26,https://doi.org/10.5281/zenodo.6489192,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
27,https://doi.org/10.5281/zenodo.6488857,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
28,https://doi.org/10.5281/zenodo.6327329,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
29,https://doi.org/10.5281/zenodo.6487019,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
30,https://doi.org/10.5281/zenodo.6487649,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
31,https://doi.org/10.5281/zenodo.6487587,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
32,https://doi.org/10.5281/zenodo.6487451,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
33,https://doi.org/10.5281/zenodo.6489060,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
34,https://doi.org/10.5281/zenodo.6486756,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
35,https://doi.org/10.5281/zenodo.6488981,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
36,https://doi.org/10.5281/zenodo.6488710,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
37,https://doi.org/10.5281/zenodo.6489040,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
38,https://doi.org/10.5281/zenodo.6488165,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
39,https://doi.org/10.5281/zenodo.6487676,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
40,https://doi.org/10.5281/zenodo.6487151,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
41,https://doi.org/10.5281/zenodo.6486866,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
42,https://doi.org/10.5281/zenodo.6487043,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
43,https://doi.org/10.5281/zenodo.6487755,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
44,https://doi.org/10.5281/zenodo.6487207,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
45,https://doi.org/10.5281/zenodo.6487964,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
46,https://doi.org/10.5281/zenodo.6488690,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
47,https://doi.org/10.5281/zenodo.6487834,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
48,https://doi.org/10.5281/zenodo.6488576,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
