,ID,F1A,F1B,F2A,I1A,I1B,I2A,I2B,I3,R1.1,R1.2
0,https://bio.tools/1000genomes_variation_pattern_finder,0.0,0.22,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
1,https://bio.tools/2sigfinder,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01
2,https://bio.tools/3d-partner,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
3,https://bio.tools/3d-rna-seq,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
4,https://bio.tools/3omics,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
5,https://bio.tools/3v,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
6,https://bio.tools/744664v1,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
7,https://bio.tools/ACES,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
8,https://bio.tools/AESA,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
9,https://bio.tools/AFCMHeatMap,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
10,https://bio.tools/AHSURED,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
11,https://bio.tools/AIKYATAN,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
12,https://bio.tools/ANN-SoLo,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
13,https://bio.tools/ARG,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
14,https://bio.tools/ASRD,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
15,https://bio.tools/AVAILABILITYUMLSmapper,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
16,https://bio.tools/All-FIT_autogenerated,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
