,URL,F1A,F1B,F2A,F2B,A1.1,A1.2,I1,I2,I3,R1.1,R1.2,R1.3
0,https://www.ebi.ac.uk/biostudies/arrayexpress,2,0,1,2,2,0,1,2,0,0,0,2
1,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD705,2,0,1,2,2,0,1,2,0,0,0,2
2,https://bacdive.dsmz.de,2,0,0,0,2,0,0,0,0,0,0,0
3,https://bacdive.dsmz.de/strain/2979,2,2,1,1,2,2,1,1,2,2,2,1
4,https://www.brenda-enzymes.org,2,0,0,0,2,0,0,0,0,0,0,0
5,http://www.cathdb.info,2,2,1,1,2,2,1,1,2,2,2,1
6,https://www.cellosaurus.org,2,2,1,1,2,2,1,1,2,2,2,1
7,https://www.ebi.ac.uk/chebi,2,0,0,0,2,0,0,0,0,0,0,0
8,https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27732,2,0,0,0,2,0,0,0,0,0,0,0
9,https://www.ebi.ac.uk/chembl/,2,0,0,0,2,0,0,0,0,0,0,0
10,https://www.ebi.ac.uk/chembl/explore/assay/CHEMBL633046,2,0,0,0,2,0,0,0,0,0,0,0
11,https://ega-archive.org,2,2,1,2,2,0,1,2,2,0,2,2
12,https://ega-archive.org/studies/EGAS00000000001,2,0,1,2,2,0,1,2,0,0,0,2
13,https://www.ebi.ac.uk/ena/browser/home,2,0,0,0,2,0,0,0,0,0,0,0
14,https://www.ebi.ac.uk/ena/browser/view/JAUTXS020000000,2,0,0,0,2,0,0,0,0,0,0,0
15,https://www.ebi.ac.uk/emdb/,2,0,1,2,2,0,1,2,0,0,0,2
16,https://www.ebi.ac.uk/emdb/EMD-19111,2,0,1,2,2,0,1,2,0,0,0,2
17,http://www.ensembl.org/index.html,2,0,1,1,2,2,1,1,2,2,2,1
18,http://ensemblgenomes.org,2,0,0,0,2,0,0,0,0,0,0,0
19,https://europepmc.org,2,0,0,0,2,0,0,0,0,0,0,0
20,https://europepmc.org/article/MED/38030228,2,0,0,0,2,0,0,0,0,0,0,0
21,https://www.ebi.ac.uk/gwas/,2,0,0,0,2,0,0,0,0,0,0,0
22,https://www.ebi.ac.uk/gwas/efotraits/MONDO_0005180,2,0,0,0,2,0,0,0,0,0,0,0
23,https://www.genenames.org,2,0,1,1,2,2,1,1,2,2,2,1
24,https://www.genenames.org/data/gene-symbol-report/#!/hgnc_id/HGNC:9801,2,2,1,1,2,2,1,1,2,2,2,1
25,http://www.proteinatlas.org,2,2,1,1,2,2,1,1,0,2,2,1
26,https://www.ebi.ac.uk/intact/home,2,0,0,0,2,0,0,0,0,0,0,0
27,https://mint.bio.uniroma2.it,2,2,1,1,2,0,1,1,2,0,2,1
28,https://www.ebi.ac.uk/interpro/,2,2,1,1,2,2,1,1,2,2,2,1
29,https://www.ebi.ac.uk/metagenomics,2,0,0,0,2,0,0,0,0,0,0,0
30,https://www.ebi.ac.uk/metagenomics/studies/MGYS00006808#overview,2,0,0,0,2,0,0,0,0,0,0,0
31,https://www.lipidmaps.org,2,0,0,0,2,0,0,0,0,0,0,0
32,https://www.lipidmaps.org/databases/lmsd/LMGP0000AB00,2,0,0,0,2,0,0,0,0,0,0,0
33,https://sciences.orphadata.com/alignments/,2,0,1,0,2,0,1,0,0,0,0,0
34,https://www.pombase.org,2,0,0,0,2,0,0,0,0,0,0,0
35,https://www.pombase.org/gene/SPBC216.07c,2,0,0,0,2,0,0,0,0,0,0,0
36,https://www.ebi.ac.uk/pdbe/,2,0,1,2,2,0,1,2,0,0,0,2
37,https://www.ebi.ac.uk/pride/archive/,2,0,0,0,2,0,0,0,0,0,0,0
38,https://reactome.org,2,0,1,1,2,0,1,1,0,0,0,1
39,https://www.rhea-db.org,2,0,1,1,2,2,1,1,2,2,2,1
40,https://www.arb-silva.de,2,2,1,2,2,0,1,2,0,0,0,2
41,https://string-db.org,2,2,1,1,2,2,1,1,2,2,2,1
42,https://swissmodel.expasy.org,2,1,1,1,2,2,1,1,2,2,2,1
43,https://swissmodel.expasy.org/repository/uniprot/Q8NI99,2,0,0,0,2,0,0,0,0,0,0,0
44,https://www.uniprot.org,2,0,1,1,2,0,1,1,2,0,2,1
45,https://www.uniprot.org/uniprotkb/Q8NI99/entry,2,0,1,1,2,0,1,1,2,0,0,1
46,https://veupathdb.org/veupathdb/app,2,0,0,0,2,0,0,0,0,0,0,0
