,URL,F1A,F1B,F2A,F2B,A1.1,A1.2,I1,I2,I3,R1.1,R1.2,R1.3
0,https://www.ebi.ac.uk/biostudies/arrayexpress,2,0,1,2,2,0,1,2,0,0,0,2
1,https://www.ebi.ac.uk/biostudies/bioimages/studies/S-BIAD705,2,0,1,2,2,0,1,2,0,0,0,2
2,https://www.brenda-enzymes.org,2,0,0,0,2,0,0,0,0,0,0,0
3,http://www.cathdb.info,2,2,1,1,2,2,1,1,2,2,2,1
4,https://www.cellosaurus.org,2,2,1,1,2,2,1,1,2,2,2,1
5,https://www.ebi.ac.uk/chebi,2,0,0,0,2,0,0,0,0,0,0,0
6,https://www.ebi.ac.uk/chembl/,2,2,1,1,2,2,1,1,0,2,2,1
7,https://ega-archive.org,2,0,1,2,2,0,1,2,0,0,0,2
8,https://www.ebi.ac.uk/ena/browser/home,2,0,0,0,2,0,0,0,0,0,0,0
9,http://www.ensembl.org/index.html,2,0,1,1,2,2,1,1,2,2,2,1
10,http://ensemblgenomes.org,2,0,0,0,2,0,0,0,0,0,0,0
11,https://europepmc.org,2,0,0,0,2,0,0,0,0,0,0,0
12,https://europepmc.org/article/MED/38030228,2,0,0,0,2,0,0,0,0,0,0,0
13,http://www.proteinatlas.org,2,2,1,1,2,2,1,1,0,2,2,1
14,https://www.ebi.ac.uk/intact/home,2,0,0,0,2,0,0,0,0,0,0,0
15,https://mint.bio.uniroma2.it,2,2,1,1,2,0,1,1,2,0,2,1
16,https://www.ebi.ac.uk/interpro/,2,2,1,1,2,2,1,1,2,2,2,1
17,https://www.orphadata.com/orphadata-science/,2,0,1,0,2,0,1,0,0,0,0,0
18,https://www.ebi.ac.uk/pdbe/,2,0,1,2,2,0,1,2,0,0,0,2
19,https://www.ebi.ac.uk/pride/archive/,2,0,0,0,2,0,0,0,0,0,0,0
20,https://reactome.org,2,0,1,1,2,0,1,1,0,0,0,1
21,https://www.rhea-db.org,2,0,1,1,2,2,1,1,2,2,2,1
22,https://www.arb-silva.de,2,0,1,2,2,0,1,2,0,0,0,2
23,https://string-db.org,2,2,1,1,2,2,1,1,2,2,2,1
24,https://www.uniprot.org,2,0,1,1,2,0,1,1,0,0,2,1
