,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://doi.org/10.5061/dryad.1922,0.0,0.01,0.0,0.0,0.0,0.01,0.01
1,https://doi.org/10.5061/dryad.r5t8d04,0.0,0.01,0.0,0.0,0.0,0.01,0.01
2,https://doi.org/10.5061/dryad.fk41r,0.0,0.01,0.0,0.0,0.0,0.01,0.01
3,https://doi.org/10.5061/dryad.90005,0.0,0.01,0.0,0.0,0.0,0.01,0.02
4,https://doi.org/10.5061/dryad.00731,0.0,0.01,0.0,0.0,0.0,0.01,0.01
5,https://doi.org/10.5061/dryad.8pg7963,0.0,0.01,0.0,0.0,0.0,0.01,0.01
6,https://doi.org/10.5061/dryad.4rn55kq,0.0,0.01,0.0,0.0,0.0,0.01,0.02
7,https://doi.org/10.5061/dryad.ft3tq32,0.0,0.01,0.0,0.0,0.0,0.01,0.01
8,https://doi.org/10.5061/dryad.622q4,0.0,0.01,0.0,0.0,0.0,0.01,0.01
9,https://doi.org/10.5061/dryad.fn627,0.0,0.02,0.0,0.0,0.0,0.01,0.02
10,https://doi.org/10.5061/dryad.jb79430,0.0,0.01,0.0,0.0,0.0,0.01,0.01
11,https://doi.org/10.5061/dryad.gk90t,0.0,0.01,0.0,0.0,0.0,0.01,0.01
12,https://doi.org/10.5061/dryad.689d2,0.0,0.01,0.0,0.0,0.0,0.01,0.01
13,https://doi.org/10.5061/dryad.d9v38,0.0,0.01,0.0,0.0,0.0,0.01,0.02
14,https://doi.org/10.5061/dryad.2r79q,0.0,0.01,0.0,0.0,0.0,0.01,0.01
15,https://doi.org/10.5061/dryad.8ks16,0.0,0.01,0.0,0.0,0.0,0.01,0.02
16,https://doi.org/10.5061/dryad.3k502,0.0,0.01,0.0,0.0,0.0,0.02,0.02
17,https://doi.org/10.5061/dryad.r7201,0.0,0.01,0.0,0.0,0.0,0.01,0.01
18,https://doi.org/10.5061/dryad.88h1m1h,0.0,0.01,0.0,0.0,0.0,0.01,0.02
19,https://doi.org/10.5061/dryad.7c4g3,0.0,0.01,0.0,0.0,0.0,0.01,0.02
20,https://doi.org/10.5061/dryad.cc2tc,0.0,0.01,0.0,0.0,0.0,0.01,0.01
21,https://doi.org/10.5061/dryad.22qc2,0.0,0.01,0.0,0.0,0.0,0.01,0.01
22,https://doi.org/10.5061/dryad.736cj0j,0.0,0.01,0.0,0.0,0.0,0.01,0.01
23,https://doi.org/10.5061/dryad.4rp68,0.0,0.01,0.0,0.0,0.0,0.01,0.01
24,https://doi.org/10.5061/dryad.0bq52,0.0,0.01,0.0,0.0,0.0,0.01,0.02
25,https://doi.org/10.5061/dryad.r503m,0.0,0.01,0.0,0.0,0.0,0.01,0.02
26,https://doi.org/10.5061/dryad.bv1g6,0.0,0.01,0.0,0.0,0.0,0.01,0.01
27,https://doi.org/10.5061/dryad.q447c,0.0,0.01,0.0,0.0,0.0,0.01,0.01
28,https://doi.org/10.5061/dryad.m1vc0,0.0,0.01,0.0,0.0,0.0,0.01,0.01
29,https://doi.org/10.5061/dryad.m466f,0.0,0.01,0.0,0.0,0.0,0.01,0.01
30,https://doi.org/10.5061/dryad.7n10n,0.0,0.02,0.0,0.0,0.0,0.01,0.02
31,https://doi.org/10.5061/dryad.mr0v3,0.0,0.01,0.0,0.0,0.0,0.01,0.01
32,https://doi.org/10.5061/dryad.nr1td,0.0,0.01,0.0,0.0,0.0,0.01,0.01
33,https://doi.org/10.5061/dryad.5vd61,0.0,0.01,0.0,0.0,0.0,0.01,0.01
34,https://doi.org/10.5061/dryad.305s0,0.0,0.01,0.0,0.0,0.0,0.01,0.01
35,https://doi.org/10.5061/dryad.5hr7f31,0.0,0.01,0.0,0.0,0.0,0.01,0.01
36,https://doi.org/10.5061/dryad.4gm03,0.0,0.01,0.0,0.0,0.0,0.01,0.01
37,https://doi.org/10.5061/dryad.bp11m,0.0,0.01,0.0,0.0,0.0,0.01,0.01
38,https://doi.org/10.5061/dryad.g8h71,0.0,0.01,0.0,0.0,0.0,0.01,0.01
39,https://doi.org/10.5061/dryad.37b53,0.0,0.01,0.0,0.0,0.0,0.01,0.01
40,https://doi.org/10.5061/dryad.b30s4,0.0,0.01,0.0,0.0,0.0,0.01,0.01
41,https://doi.org/10.5061/dryad.p8br3r4,0.0,0.01,0.0,0.0,0.0,0.01,0.01
42,https://doi.org/10.5061/dryad.v2g01,0.0,0.01,0.0,0.0,0.0,0.01,0.01
43,https://doi.org/10.5061/dryad.r8d4q,0.0,0.01,0.0,0.0,0.0,0.01,0.01
44,https://doi.org/10.5061/dryad.f0s23r8,0.0,0.01,0.0,0.0,0.0,0.01,0.01
45,https://doi.org/10.5061/dryad.r578p,0.0,0.01,0.0,0.0,0.0,0.01,0.02
46,https://doi.org/10.5061/dryad.2c20k,0.0,0.01,0.0,0.0,0.0,0.01,0.02
47,https://doi.org/10.5061/dryad.hq68q,0.0,0.01,0.0,0.0,0.0,0.01,0.01
48,https://doi.org/10.5061/dryad.cg35k,0.0,0.01,0.0,0.0,0.0,0.01,0.02
49,https://doi.org/10.5061/dryad.c1j01,0.0,0.01,0.0,0.0,0.0,0.01,0.01
50,https://doi.org/10.5061/dryad.k58fr,0.0,0.01,0.0,0.0,0.0,0.01,0.01
51,https://doi.org/10.5061/dryad.gf07m,0.0,0.01,0.0,0.0,0.0,0.01,0.02
52,https://doi.org/10.5061/dryad.pf150,0.0,0.01,0.0,0.0,0.0,0.01,0.01
53,https://doi.org/10.5061/dryad.hf0rm,0.0,0.01,0.0,0.0,0.0,0.01,0.02
54,https://doi.org/10.5061/dryad.35kg335,0.0,0.01,0.0,0.0,0.0,0.01,0.01
55,https://doi.org/10.5061/dryad.364qh,0.0,0.01,0.0,0.0,0.0,0.01,0.01
56,https://doi.org/10.5061/dryad.78622,0.0,0.01,0.0,0.0,0.0,0.01,0.01
57,https://doi.org/10.5061/dryad.gq883,0.0,0.01,0.0,0.0,0.0,0.01,0.01
58,https://doi.org/10.5061/dryad.m5j1rs3,0.0,0.01,0.0,0.0,0.0,0.01,0.01
59,https://doi.org/10.5061/dryad.m0q5s,0.0,0.01,0.0,0.0,0.0,0.01,0.01
60,https://doi.org/10.5061/dryad.9tg56,0.0,0.01,0.0,0.0,0.0,0.01,0.01
61,https://doi.org/10.5061/dryad.ts895r1,0.0,0.01,0.0,0.0,0.0,0.01,0.02
62,https://doi.org/10.5061/dryad.nk780,0.0,0.01,0.0,0.0,0.0,0.02,0.02
63,https://doi.org/10.5061/dryad.bd4gs,0.0,0.01,0.0,0.0,0.0,0.01,0.02
64,https://doi.org/10.5061/dryad.7n731,0.0,0.01,0.0,0.0,0.0,0.01,0.01
65,https://doi.org/10.5061/dryad.3jm3n,0.0,0.01,0.0,0.0,0.0,0.01,0.01
66,https://doi.org/10.5061/dryad.kf674kb,0.0,0.01,0.0,0.0,0.0,0.01,0.01
67,https://doi.org/10.5061/dryad.742j4,0.0,0.01,0.0,0.0,0.0,0.01,0.01
68,https://doi.org/10.5061/dryad.11vb2,0.0,0.01,0.0,0.0,0.0,0.01,0.02
69,https://doi.org/10.5061/dryad.n26nd,0.0,0.01,0.0,0.0,0.0,0.01,0.01
70,https://doi.org/10.5061/dryad.ts3t7,0.0,0.01,0.0,0.0,0.0,0.01,0.01
71,https://doi.org/10.5061/dryad.t0910,0.0,0.02,0.0,0.0,0.0,0.02,0.02
72,https://doi.org/10.5061/dryad.vq1dc,0.0,0.01,0.0,0.0,0.0,0.01,0.01
73,https://doi.org/10.5061/dryad.3hf2q,0.0,0.01,0.0,0.0,0.0,0.01,0.01
74,https://doi.org/10.5061/dryad.1mr70,0.0,0.01,0.0,0.0,0.0,0.01,0.01
75,https://doi.org/10.5061/dryad.4sd51d4b,0.0,0.01,0.0,0.0,0.0,0.01,0.01
76,https://doi.org/10.5061/dryad.4mh47r7,0.0,0.01,0.0,0.0,0.0,0.01,0.01
77,https://doi.org/10.5061/dryad.612jm,0.0,0.01,0.0,0.0,0.0,0.01,0.01
78,https://doi.org/10.5061/dryad.1q8p3,0.0,0.01,0.0,0.0,0.0,0.01,0.01
79,https://doi.org/10.5061/dryad.p61vk,0.0,0.01,0.0,0.0,0.0,0.01,0.01
80,https://doi.org/10.5061/dryad.s3tc6,0.0,0.01,0.0,0.0,0.0,0.01,0.01
81,https://doi.org/10.5061/dryad.5rp65,0.0,0.01,0.0,0.0,0.0,0.01,0.01
82,https://doi.org/10.5061/dryad.m67r6,0.0,0.01,0.0,0.0,0.0,0.01,0.01
83,https://doi.org/10.5061/dryad.hn082,0.0,0.01,0.0,0.0,0.0,0.01,0.02
84,https://doi.org/10.5061/dryad.370rv,0.0,0.01,0.0,0.0,0.0,0.01,0.02
85,https://doi.org/10.5061/dryad.7m70n,0.0,0.01,0.0,0.0,0.0,0.01,0.01
86,https://doi.org/10.5061/dryad.527pn,0.0,0.01,0.0,0.0,0.0,0.02,0.02
87,https://doi.org/10.5061/dryad.gc72v,0.0,0.01,0.0,0.0,0.0,0.01,0.01
88,https://doi.org/10.5061/dryad.20r9k,0.0,0.01,0.0,0.0,0.0,0.01,0.01
89,https://doi.org/10.5061/dryad.1kp0s,0.0,0.01,0.0,0.0,0.0,0.01,0.01
90,https://doi.org/10.5061/dryad.fb1fq,0.0,0.01,0.0,0.0,0.0,0.01,0.01
91,https://doi.org/10.5061/dryad.r43s0,0.0,0.01,0.0,0.0,0.0,0.02,0.02
92,https://doi.org/10.5061/dryad.308g1h54,0.0,0.01,0.0,0.0,0.0,0.01,0.01
93,https://doi.org/10.5061/dryad.qb7r0d3,0.0,0.01,0.0,0.0,0.0,0.01,0.01
94,https://doi.org/10.5061/dryad.j5r51,0.0,0.01,0.0,0.0,0.0,0.01,0.01
95,https://doi.org/10.5061/dryad.p7c77,0.0,0.01,0.0,0.0,0.0,0.01,0.02
96,https://doi.org/10.5061/dryad.q4g75,0.0,0.01,0.0,0.0,0.0,0.01,0.02
97,https://doi.org/10.5061/dryad.7cp50,0.0,0.01,0.0,0.0,0.0,0.01,0.01
98,https://doi.org/10.5061/dryad.hv117,0.0,0.01,0.0,0.0,0.0,0.01,0.01
99,https://doi.org/10.5061/dryad.0s9j3,0.0,0.01,0.0,0.0,0.0,0.01,0.01
