,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://doi.org/10.1594/PANGAEA.382060,2,2,2,2,2,2,0
1,https://doi.org/10.1594/PANGAEA.398955,2,2,2,2,2,2,0
2,https://doi.org/10.1594/PANGAEA.694450,2,2,2,2,2,2,0
3,https://doi.org/10.1594/PANGAEA.87285,2,2,2,2,2,2,0
4,https://doi.org/10.1594/PANGAEA.265606,2,2,2,2,2,2,0
5,https://doi.org/10.1594/PANGAEA.249393,2,2,2,2,2,2,0
6,https://doi.org/10.1594/PANGAEA.385182,2,2,2,2,2,2,0
7,https://doi.pangaea.de/10.1594/PANGAEA.937137,2,2,2,2,2,0,0
8,https://doi.org/10.1594/PANGAEA.874927,2,2,2,2,2,2,0
9,https://doi.org/10.1594/PANGAEA.677457,2,2,2,2,2,0,0
10,https://doi.org/10.1594/PANGAEA.370145,2,2,2,2,2,2,0
11,https://doi.org/10.1594/PANGAEA.916659,2,2,2,2,2,2,0
12,https://doi.org/10.1594/PANGAEA.380099,2,2,2,2,2,2,0
13,https://doi.org/10.1594/PANGAEA.874113,2,2,2,2,2,2,0
14,https://doi.org/10.1594/PANGAEA.269304,2,2,2,2,2,2,0
15,https://doi.org/10.1594/PANGAEA.56218,2,2,2,2,2,2,0
16,https://doi.org/10.1594/PANGAEA.795024,2,2,2,2,2,2,0
17,https://doi.org/10.1594/PANGAEA.739491,2,2,2,2,2,0,0
18,https://doi.pangaea.de/10.1594/PANGAEA.906857,2,2,2,2,2,0,0
19,https://doi.org/10.1594/PANGAEA.251351,2,2,2,2,2,2,0
20,https://doi.org/10.1594/PANGAEA.828946,2,2,2,2,2,2,0
21,https://doi.org/10.1594/PANGAEA.406658,2,2,2,2,2,2,0
22,https://doi.org/10.1594/PANGAEA.359845,2,2,2,2,2,2,0
23,https://doi.org/10.1594/PANGAEA.871760,2,2,2,2,2,2,0
24,https://doi.org/10.1594/PANGAEA.221258,2,2,2,2,2,2,0
25,https://doi.org/10.1594/PANGAEA.109353,2,2,2,2,2,2,0
26,https://doi.org/10.1594/PANGAEA.263808,2,2,2,2,2,2,0
27,https://doi.org/10.1594/PANGAEA.918357,2,2,2,2,2,0,0
28,https://doi.org/10.1594/PANGAEA.56361,2,2,2,2,2,2,0
29,https://doi.org/10.1594/PANGAEA.665972,2,2,2,2,2,2,0
30,https://doi.org/10.1594/PANGAEA.320824,2,2,2,2,2,2,0
31,https://doi.org/10.1594/PANGAEA.382294,2,2,2,2,2,2,0
32,https://doi.org/10.1594/PANGAEA.805090,2,2,2,2,2,2,0
33,https://doi.org/10.1594/PANGAEA.852554,2,2,2,2,2,2,0
34,https://doi.org/10.1594/PANGAEA.385533,2,2,2,2,2,2,0
35,https://doi.org/10.1594/PANGAEA.778788,2,2,2,2,2,2,0
36,https://doi.org/10.1594/PANGAEA.767614,2,2,2,2,2,2,0
37,https://doi.org/10.1594/PANGAEA.842892,2,2,2,2,2,0,0
38,https://doi.org/10.1594/PANGAEA.53548,2,2,2,2,2,2,0
39,https://doi.org/10.1594/PANGAEA.814147,2,2,2,2,2,2,0
40,https://doi.org/10.1594/PANGAEA.406385,2,2,2,2,2,2,0
41,https://doi.org/10.1594/PANGAEA.922501,2,2,2,2,2,2,0
42,https://doi.org/10.1594/PANGAEA.813634,2,2,2,2,2,2,0
43,https://doi.org/10.1594/PANGAEA.230809,2,2,2,2,2,2,0
44,https://doi.org/10.1594/PANGAEA.840057,2,2,2,2,2,2,0
45,https://doi.org/10.1594/PANGAEA.55644,2,2,2,2,2,2,0
46,https://doi.org/10.1594/PANGAEA.855829,2,2,2,2,2,2,0
47,https://doi.org/10.1594/PANGAEA.897049,2,2,2,2,2,2,0
48,https://doi.org/10.1594/PANGAEA.905038,2,2,2,2,2,2,0
49,https://doi.org/10.1594/PANGAEA.91271,2,2,2,2,2,2,0
50,https://doi.org/10.1594/PANGAEA.59895,2,2,2,2,2,2,0
51,https://doi.org/10.1594/PANGAEA.904233,2,2,2,2,2,2,0
52,https://doi.org/10.1594/PANGAEA.820745,2,2,2,2,2,2,0
53,https://doi.org/10.1594/PANGAEA.615819,2,2,2,2,2,2,0
54,https://doi.org/10.1594/PANGAEA.705646,2,2,2,2,2,2,0
55,https://doi.org/10.1594/PANGAEA.920360,2,2,2,2,2,2,0
56,https://doi.org/10.1594/PANGAEA.394325,2,2,2,2,2,2,0
57,https://doi.org/10.1594/PANGAEA.888740,2,2,2,2,2,0,0
58,https://doi.org/10.1594/PANGAEA.888716,2,2,2,2,2,0,0
59,https://doi.org/10.1594/PANGAEA.908956,2,2,2,2,2,2,0
60,https://doi.org/10.1594/PANGAEA.916773,2,2,2,2,2,2,0
61,https://doi.org/10.1594/PANGAEA.80251,2,2,2,2,2,2,0
62,https://doi.org/10.1594/PANGAEA.790495,2,2,2,2,2,2,0
63,https://doi.org/10.1594/PANGAEA.220824,2,2,2,2,2,2,0
64,https://doi.org/10.1594/PANGAEA.255907,2,2,2,2,2,2,0
65,https://doi.org/10.1594/PANGAEA.870624,2,2,2,2,2,2,0
66,https://doi.org/10.1594/PANGAEA.842834,2,2,2,2,2,2,0
67,https://doi.org/10.1594/PANGAEA.221152,2,2,2,2,2,2,0
68,https://doi.org/10.1594/PANGAEA.889097,2,2,2,2,2,0,0
69,https://doi.org/10.1594/PANGAEA.355737,2,2,2,2,2,2,0
70,https://doi.org/10.1594/PANGAEA.720301,2,2,2,2,2,2,0
71,https://doi.org/10.1594/PANGAEA.108878,2,2,2,2,2,2,0
72,https://doi.org/10.1594/PANGAEA.917136,2,2,2,2,2,2,0
73,https://doi.org/10.1594/PANGAEA.872638,2,2,2,2,2,2,0
74,https://doi.org/10.1594/PANGAEA.694534,2,2,2,2,2,2,0
75,https://doi.org/10.1594/PANGAEA.265420,2,2,2,2,2,2,0
76,https://doi.org/10.1594/PANGAEA.108848,2,2,2,2,2,2,0
77,https://doi.org/10.1594/PANGAEA.822614,2,2,2,2,2,2,0
78,https://doi.org/10.1594/PANGAEA.59821,2,2,2,2,2,2,0
79,https://doi.org/10.1594/PANGAEA.484434,2,2,2,2,2,2,0
80,https://doi.org/10.1594/PANGAEA.260820,2,2,2,2,2,2,0
81,https://doi.org/10.1594/PANGAEA.667625,2,2,2,2,2,0,0
82,https://doi.org/10.1594/PANGAEA.254421,2,2,2,2,2,2,0
83,https://doi.org/10.1594/PANGAEA.796728,2,2,2,2,2,2,0
84,https://doi.org/10.1594/PANGAEA.739245,2,2,2,2,2,2,0
85,https://doi.org/10.1594/PANGAEA.796321,2,2,2,2,2,2,0
86,https://doi.pangaea.de/10.1594/PANGAEA.810727,2,2,2,2,2,0,0
87,https://doi.org/10.1594/PANGAEA.221059,2,2,2,2,2,2,0
88,https://doi.org/10.1594/PANGAEA.754890,2,2,2,2,2,2,0
89,https://doi.org/10.1594/PANGAEA.869366,2,2,2,2,2,0,0
90,https://doi.org/10.1594/PANGAEA.267274,2,2,2,2,2,2,0
91,https://doi.org/10.1594/PANGAEA.109678,2,2,2,2,2,2,0
92,https://doi.org/10.1594/PANGAEA.738957,2,2,2,2,2,2,0
93,https://doi.org/10.1594/PANGAEA.108367,2,2,2,2,2,2,0
94,https://doi.org/10.1594/PANGAEA.804744,2,2,2,2,2,2,0
95,https://doi.org/10.1594/PANGAEA.891136,2,2,2,2,2,2,0
96,https://doi.org/10.1594/PANGAEA.744740,2,2,2,2,2,0,0
97,https://doi.org/10.1594/PANGAEA.729773,2,2,2,2,2,2,0
98,https://doi.org/10.1594/PANGAEA.777071,2,2,2,2,2,2,0
99,https://doi.org/10.1594/PANGAEA.834774,2,2,2,2,2,2,0
