,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://doi.org/10.1594/PANGAEA.267215,0.0,0.01,0.0,0.0,0.0,0.01,0.01
1,https://doi.org/10.1594/PANGAEA.55457,0.0,0.01,0.0,0.0,0.0,0.01,0.01
2,https://doi.org/10.1594/PANGAEA.713786,0.0,0.02,0.0,0.0,0.0,0.01,0.01
3,https://doi.org/10.1594/PANGAEA.227353,0.0,0.01,0.0,0.0,0.0,0.01,0.01
4,https://doi.org/10.1594/PANGAEA.82380,0.0,0.01,0.0,0.0,0.0,0.01,0.01
5,https://doi.org/10.1594/PANGAEA.110444,0.0,0.01,0.0,0.0,0.0,0.01,0.01
6,https://doi.org/10.1594/PANGAEA.795431,0.0,0.01,0.0,0.0,0.0,0.01,0.01
7,https://doi.org/10.1594/PANGAEA.842626,0.0,0.01,0.0,0.0,0.0,0.01,0.01
8,https://doi.org/10.1594/PANGAEA.772602,0.0,0.01,0.0,0.0,0.0,0.01,0.01
9,https://doi.org/10.1594/PANGAEA.52476,0.0,0.01,0.0,0.0,0.0,0.01,0.02
10,https://doi.org/10.1594/PANGAEA.358862,0.0,0.01,0.0,0.0,0.0,0.01,0.01
11,https://doi.org/10.1594/PANGAEA.649379,0.0,0.01,0.0,0.0,0.0,0.01,0.01
12,https://doi.org/10.1594/PANGAEA.880363,0.0,0.01,0.0,0.0,0.0,0.01,0.01
13,https://doi.org/10.1594/PANGAEA.398415,0.0,0.01,0.0,0.0,0.0,0.01,0.01
14,https://doi.org/10.1594/PANGAEA.404751,0.0,0.01,0.0,0.0,0.0,0.01,0.01
15,https://doi.org/10.1594/PANGAEA.760611,0.0,0.01,0.0,0.0,0.0,0.01,0.01
16,https://doi.org/10.1594/PANGAEA.99187,0.0,0.01,0.0,0.0,0.0,0.01,0.01
17,https://doi.org/10.1594/PANGAEA.186985,0.0,0.01,0.0,0.0,0.0,0.01,0.01
18,https://doi.org/10.1594/PANGAEA.865321,0.0,0.01,0.0,0.0,0.0,0.01,0.01
19,https://doi.org/10.1594/PANGAEA.751968,0.0,0.01,0.0,0.0,0.0,0.01,0.01
20,https://doi.org/10.1594/PANGAEA.89384,0.0,0.01,0.0,0.0,0.0,0.01,0.01
21,https://doi.org/10.1594/PANGAEA.873680,0.0,0.01,0.0,0.0,0.0,0.01,0.01
22,https://doi.org/10.1594/PANGAEA.393177,0.0,0.01,0.0,0.0,0.0,0.01,0.01
23,https://doi.org/10.1594/PANGAEA.388798,0.0,0.01,0.0,0.0,0.0,0.01,0.02
24,https://doi.org/10.1594/PANGAEA.749123,0.0,0.01,0.0,0.0,0.0,0.01,0.01
25,https://doi.org/10.1594/PANGAEA.754393,0.0,0.01,0.0,0.0,0.0,0.01,0.01
26,https://doi.org/10.1594/PANGAEA.792600,0.0,0.01,0.0,0.0,0.0,0.01,0.01
27,https://doi.org/10.1594/PANGAEA.776856,0.0,0.01,0.0,0.0,0.0,0.01,0.01
28,https://doi.org/10.1594/PANGAEA.804569,0.0,0.01,0.0,0.0,0.0,0.01,0.02
29,https://doi.org/10.1594/PANGAEA.221019,0.0,0.01,0.0,0.0,0.0,0.01,0.01
30,https://doi.org/10.1594/PANGAEA.843423,0.0,0.01,0.0,0.0,0.0,0.01,0.02
31,https://doi.org/10.1594/PANGAEA.847403,0.0,0.01,0.0,0.0,0.01,0.01,0.02
32,https://doi.org/10.1594/PANGAEA.258847,0.0,0.01,0.0,0.0,0.0,0.01,0.02
33,https://doi.org/10.1594/PANGAEA.834186,0.0,0.01,0.0,0.0,0.0,0.01,0.02
34,https://doi.org/10.1594/PANGAEA.864351,0.0,0.01,0.0,0.0,0.0,0.01,0.02
35,https://doi.org/10.1594/PANGAEA.272067,0.0,0.01,0.0,0.0,0.0,0.01,0.02
36,https://doi.org/10.1594/PANGAEA.148311,0.0,0.01,0.0,0.0,0.0,0.01,0.02
37,https://doi.org/10.1594/PANGAEA.753838,0.0,0.01,0.0,0.0,0.01,0.01,0.02
38,https://doi.org/10.1594/PANGAEA.876070,0.0,0.01,0.0,0.0,0.0,0.01,0.01
39,https://doi.org/10.1594/PANGAEA.259436,0.0,0.01,0.0,0.0,0.0,0.01,0.01
40,https://doi.org/10.1594/PANGAEA.759905,0.0,0.01,0.0,0.0,0.0,0.01,0.01
41,https://doi.org/10.1594/PANGAEA.798567,0.0,0.01,0.0,0.0,0.0,0.01,0.02
42,https://doi.org/10.1594/PANGAEA.744176,0.0,0.01,0.0,0.0,0.0,0.01,0.02
43,https://doi.org/10.1594/PANGAEA.925823,0.0,0.01,0.0,0.0,0.07,0.01,0.01
44,https://doi.org/10.1594/PANGAEA.221295,0.0,0.01,0.0,0.0,0.0,0.01,0.01
45,https://doi.org/10.1594/PANGAEA.114987,0.0,0.01,0.0,0.0,0.0,0.01,0.01
46,https://doi.org/10.1594/PANGAEA.398456,0.0,0.01,0.0,0.0,0.0,0.01,0.01
47,https://doi.org/10.1594/PANGAEA.878015,0.0,0.01,0.0,0.0,0.0,0.01,0.02
48,https://doi.org/10.1594/PANGAEA.265361,0.0,0.01,0.0,0.0,0.0,0.01,0.01
49,https://doi.org/10.1594/PANGAEA.730245,0.0,0.01,0.0,0.0,0.0,0.01,0.01
50,https://doi.org/10.1594/PANGAEA.901248,0.0,0.01,0.0,0.0,0.0,0.01,0.01
51,https://doi.org/10.1594/PANGAEA.804971,0.0,0.01,0.0,0.0,0.0,0.02,0.01
52,https://doi.org/10.1594/PANGAEA.663364,0.0,0.01,0.0,0.0,0.0,0.01,0.01
53,https://doi.org/10.1594/PANGAEA.796073,0.0,0.01,0.0,0.0,0.0,0.01,0.01
54,https://doi.org/10.1594/PANGAEA.258289,0.0,0.01,0.0,0.0,0.0,0.01,0.02
55,https://doi.org/10.1594/PANGAEA.796774,0.0,0.01,0.0,0.0,0.0,0.01,0.02
56,https://doi.org/10.1594/PANGAEA.777259,0.0,0.01,0.0,0.0,0.0,0.02,0.02
57,https://doi.org/10.1594/PANGAEA.791897,0.0,0.01,0.0,0.0,0.0,0.01,0.01
