,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6496517,2,2,2,2,2,2,0
1,https://doi.org/10.5281/zenodo.6513545,2,2,2,2,2,2,0
2,https://doi.org/10.5281/zenodo.6501580,2,2,2,2,2,2,0
3,https://doi.org/10.5281/zenodo.6468935,2,2,2,2,2,2,0
4,https://doi.org/10.5281/zenodo.6497061,2,2,2,2,2,2,0
5,https://doi.org/10.5281/zenodo.6508194,2,2,2,2,2,2,0
6,https://doi.org/10.5281/zenodo.6510069,2,2,2,2,2,2,0
7,https://doi.org/10.5281/zenodo.6510087,2,2,2,2,2,2,0
8,https://doi.org/10.5281/zenodo.6498950,2,2,2,2,2,0,0
9,https://doi.org/10.5061/dryad.8kprr4xpd,2,2,2,2,2,2,0
10,https://doi.org/10.5061/dryad.7m0cfxpwm,2,2,2,2,2,2,0
11,https://doi.org/10.5281/zenodo.6511347,2,2,2,2,2,2,0
12,https://doi.org/10.5281/zenodo.6505583,2,2,2,2,2,2,0
13,https://doi.org/10.25338/B8TK96,2,2,2,2,2,2,0
14,https://doi.org/10.5281/zenodo.6510073,2,2,2,2,2,2,0
15,https://doi.org/10.5281/zenodo.6502081,2,2,2,2,2,2,0
16,https://doi.org/10.5281/zenodo.6508884,2,2,2,2,2,2,0
17,https://doi.org/10.5061/dryad.mkkwh712j,2,2,2,2,2,2,0
18,https://doi.org/10.5061/dryad.msbcc2fxk,2,2,2,2,2,2,0
19,https://doi.org/10.25338/B81062,2,2,2,2,2,2,0
20,https://doi.org/10.5281/zenodo.6511699,2,2,2,2,2,2,0
21,https://doi.org/10.5061/dryad.3n5tb2rks,2,2,2,2,2,2,0
22,https://doi.org/10.5281/zenodo.6499054,2,2,2,2,2,2,0
23,https://doi.org/10.5061/dryad.m63xsj440,2,2,2,2,2,2,0
24,https://doi.org/10.5281/zenodo.6505380,2,2,2,2,2,2,0
25,https://doi.org/10.5281/zenodo.6511797,2,2,2,2,2,2,0
26,https://doi.org/10.5281/zenodo.6490377,2,2,2,2,2,2,0
27,https://doi.org/10.5281/zenodo.6500391,2,2,2,2,2,2,0
28,https://doi.org/10.5281/zenodo.6499687,2,2,2,2,2,2,0
29,https://doi.org/10.5281/zenodo.6501690,2,2,2,2,2,2,0
30,https://doi.org/10.5061/dryad.8931zcrsv,2,2,2,2,2,2,0
31,https://doi.org/10.5281/zenodo.6500453,2,2,2,2,2,2,0
32,https://doi.org/10.5281/zenodo.6511349,2,2,2,2,2,2,0
33,https://doi.org/10.5281/zenodo.6497985,2,2,2,2,2,2,0
34,https://doi.org/10.5281/zenodo.6512137,2,2,2,2,2,2,0
35,https://doi.org/10.5061/dryad.b2rbnzsj2,2,2,2,2,2,2,0
36,https://doi.org/10.6076/D1T59H,2,2,2,2,2,2,0
37,https://doi.org/10.5281/zenodo.6513551,2,2,2,2,2,2,0
38,https://doi.org/10.5281/zenodo.6504437,2,2,2,2,2,2,0
39,https://doi.org/10.5281/zenodo.6501742,2,2,2,2,2,2,0
40,https://doi.org/10.5281/zenodo.6499370,2,2,2,2,2,0,0
41,https://doi.org/10.5281/zenodo.6513046,2,2,2,2,2,2,0
42,https://doi.org/10.5061/dryad.ncjsxkswd,2,2,2,2,2,2,0
43,https://doi.org/10.5061/dryad.w0vt4b8st,2,2,2,2,2,2,0
44,https://doi.org/10.5061/dryad.qfttdz0jr,2,2,2,2,2,2,0
45,https://doi.org/10.5281/zenodo.6512010,2,2,2,2,2,2,0
46,https://doi.org/10.5281/zenodo.6503174,2,2,2,2,2,0,0
47,https://doi.org/10.5281/zenodo.6502643,2,2,2,2,2,2,0
48,https://doi.org/10.5061/dryad.mkkwh711f,2,2,2,2,2,2,0
49,https://doi.org/10.5061/dryad.vmcvdncvw,2,2,2,2,2,2,0
50,https://doi.org/10.5281/zenodo.6499336,2,2,2,2,2,2,0
51,https://doi.org/10.5281/zenodo.6382482,2,2,2,2,2,2,0
52,https://doi.org/10.5281/zenodo.6503689,2,2,2,2,2,2,0
53,https://doi.org/10.6078/D1Z69F,2,2,2,2,2,2,0
54,https://doi.org/10.5281/zenodo.6509725,2,2,2,2,2,2,0
55,https://doi.org/10.5281/zenodo.6501740,2,2,2,2,2,2,0
56,https://doi.org/10.5061/dryad.5dv41ns7s,2,2,2,2,2,2,0
57,https://doi.org/10.5281/zenodo.6507301,2,2,2,2,2,2,0
58,https://doi.org/10.5281/zenodo.6500300,2,2,2,2,2,2,0
59,https://doi.org/10.5061/dryad.v6wwpzgwp,2,2,2,2,2,2,0
60,https://doi.org/10.5061/dryad.3tx95x6gx,2,2,2,2,2,2,0
61,https://doi.org/10.5281/zenodo.6510095,2,2,2,2,2,2,0
62,https://doi.org/10.5061/dryad.dbrv15f3f,2,2,2,2,2,2,0
63,https://doi.org/10.5281/zenodo.6498519,2,2,2,2,2,2,0
64,https://doi.org/10.5281/zenodo.6510505,2,2,2,2,2,2,0
65,https://doi.org/10.5281/zenodo.6502724,2,2,2,2,2,2,0
