,ID,F1A,F1B,F2A,I1,I3,R1.1,R1.2
0,https://doi.org/10.5281/zenodo.6512008,0.0,0.01,0.0,0.0,0.0,0.01,0.01
1,https://doi.org/10.5281/zenodo.6503398,0.0,0.01,0.0,0.0,0.0,0.01,0.01
2,https://doi.org/10.5061/dryad.1c59zw3xn,0.0,0.01,0.0,0.0,0.0,0.01,0.01
3,https://doi.org/10.5061/dryad.t76hdr837,0.0,0.01,0.0,0.0,0.0,0.02,0.02
4,https://doi.org/10.5281/zenodo.6510328,0.0,0.01,0.0,0.0,0.0,0.01,0.01
5,https://doi.org/10.5061/dryad.9cnp5hqmb,0.0,0.01,0.0,0.0,0.0,0.01,0.01
6,https://doi.org/10.5281/zenodo.6410045,0.0,0.01,0.0,0.0,0.0,0.01,0.02
7,https://doi.org/10.5061/dryad.9ghx3ffk6,0.0,0.01,0.0,0.0,0.0,0.01,0.01
8,https://doi.org/10.5281/zenodo.6510209,0.0,0.01,0.0,0.0,0.0,0.01,0.01
9,https://doi.org/10.5061/dryad.rn8pk0pbm,0.0,0.01,0.0,0.0,0.0,0.01,0.01
10,https://doi.org/10.5061/dryad.v15dv41xp,0.0,0.01,0.0,0.0,0.0,0.01,0.01
11,https://doi.org/10.5281/zenodo.6501588,0.0,0.01,0.0,0.0,0.0,0.01,0.01
12,https://doi.org/10.5061/dryad.9p8cz8wjg,0.0,0.01,0.0,0.0,0.0,0.01,0.01
13,https://doi.org/10.5281/zenodo.6511227,0.0,0.01,0.0,0.0,0.0,0.01,0.01
14,https://doi.org/10.5281/zenodo.6503373,0.0,0.01,0.0,0.0,0.0,0.01,0.01
15,https://doi.org/10.5061/dryad.gtht76hk4,0.0,0.01,0.0,0.0,0.0,0.01,0.02
16,https://doi.org/10.5281/zenodo.5774920,0.0,0.01,0.0,0.0,0.0,0.01,0.01
17,https://doi.org/10.5281/zenodo.6505228,0.0,0.01,0.0,0.0,0.0,0.01,0.01
18,https://doi.org/10.5281/zenodo.6327176,0.0,0.01,0.0,0.0,0.0,0.01,0.02
19,https://doi.org/10.5281/zenodo.6513108,0.0,0.01,0.0,0.0,0.0,0.01,0.01
20,https://doi.org/10.5281/zenodo.6501835,0.0,0.01,0.0,0.0,0.0,0.01,0.02
