domain,nb
www.data.gv.at,742830
orkg.org,522600
doi.org,452271
ws.cso.ie,194589
arxiv.org,74195
sparql.proconsortium.org,39282
old.datahub.io,30536
www.bfs.admin.ch,26427
data.smartdublin.ie,18025
github.com,15441
linked.opendata.cz,12564
dx.doi.org,11984
data-roscoco.opendata.arcgis.com,11177
ns.inria.fr,10976
www.scopus.com,9614
purl.org,8982
www.pxweb.bfs.admin.ch,8688
opendata.housing.gov.ie,8178
raw.githubusercontent.com,7830
iot.wzl-mq.rwth-aachen.de,7741
ge.ch,7524
www.envidat.ch,7139
data.stadt-zuerich.ch,7010
data-housinggovie.opendata.arcgis.com,6722
www.purl.org,6588
fair-checker.france-bioinformatique.fr,6219
bio.tools,5990
abstimmungen.bl.ch,5684
openaccess.thecvf.com,5512
data.inrae.fr,5466
zenodo.org,4746
ldf.fi,4552
mediatum.ub.tum.de,4378
aclanthology.org,4213
doi.pangaea.de,4185
data-osi.opendata.arcgis.com,3988
workflowhub.eu,3673
geolion.zh.ch,3571
www.ebi.ac.uk,3437
data.bs.ch,3420
www.agi.dij.be.ch,3239
tierstatistik.identitas.ch,3048
opendata-galwaycoco.hub.arcgis.com,2843
www.wikidata.org,2764
wab.zug.ch,2748
data.geo.so.ch,2681
data.tg.ch,2583
www.stadtluzern.ch,2532
www.ncbi.nlm.nih.gov,2527
www.orkg.org,2311
metadata.geo.sg.ch,2220
ieeexplore.ieee.org,2139
abstimmungen.gr.ch,2028
www.geocat.ch,1890
map.bern.ch,1874
www.bafu.admin.ch,1872
entrepot.recherche.data.gouv.fr,1821
www.zh.ch,1812
w3id.org,1741
www.sciencedirect.com,1670
innoweb.mondragon.edu,1663
caligraph.org,1594
datos.bcn.cl,1590
geo.fr.ch,1454
opendata-ifigeo.hub.arcgis.com,1450
drive.google.com,1437
search.datacite.org,1436
osf.io,1410
bioinfo.uochb.cas.cz,1331
www.audit.gov.ie,1321
galway-city-council-opendata-galwaycityco.hub.arcgis.com,1293
ruian.linked.opendata.cz,1240
daten.stadt.sg.ch,1220
hdl.handle.net,1216
www.bfe.admin.ch,1202
opentransportdata.swiss,1188
edamontology.org,1177
map.geo.tg.ch,1176
taxref.mnhn.fr,1171
www.bco-dmo.org,1142
zbw.eu,1098
dcenr.maps.arcgis.com,1053
www.kaggle.com,1027
data.sbb.ch,1020
webisa.webdatacommons.org,1018
kildarecoco.ie,1014
www.macehead.org,1009
pubs.acs.org,994
www.swisstopo.admin.ch,984
www.openphacts.org,980
data.gov.lv,970
vocabulary.curriculum.edu.au,958
data.bl.ch,912
www.jura.ch,912
dl.acm.org,897
www.mascem.gecad.isep.ipp.pt,884
www.govdata.de,882
dataverse.harvard.edu,878
opendata.swiss,862
fr.dbpedia.org,852
www.researchgate.net,795
openreview.net,782
metabocloud.mesocentre.uca.fr,756
www.france-bioinformatique.fr,746
www.blw.admin.ch,708
tess.elixir-europe.org,708
figshare.com,695
hub.arcgis.com,684
wimmics.github.io,662
land.copernicus.vgt.vito.be,655
www.are.admin.ch,612
www.atgc-montpellier.fr,605
www.bakom.admin.ch,588
gitlab.com,559
www.revenue.ie,522
pubmed.ncbi.nlm.nih.gov,521
maps.biodiversityireland.ie,517
www.agroscope.admin.ch,516
www.nature.com,512
lod-cloud.net,507
openenergy-platform.org,496
map.geo.fr.ch,494
orchamp.osug.fr,484
www.bag.admin.ch,477
gis.epa.ie,471
www.meteoschweiz.admin.ch,468
opendata-geohive.hub.arcgis.com,458
www.gov.ie,456
www.floodinfo.ie,451
link.springer.com,438
probleu-dev.pml.space,437
www.mdpi.com,425
www.bern.ch,420
models.geo.bs.ch,420
papers.nips.cc,408
data.nku.cz,401
onlinelibrary.wiley.com,400
dev-antigo.raras.org.br,396
trace.ncbi.nlm.nih.gov,384
lfi.ch,384
loschmidt.chemi.muni.cz,376
dbpedia.org,371
data.rivm.nl,366
www3.ti.ch,362
www.epa.ie,360
id.nlm.nih.gov,359
assets.gov.ie,358
www.scidb.cn,356
ir.library.knu.ua,353
energy.linkeddata.es,348
www.ecva.net,345
www.uniprot.org,344
resources.marine.copernicus.eu,341
proconsortium.org,341
doaj.org,337
www.vliz.be,337
purl.obolibrary.org,336
dataverse.cirad.fr,335
training.galaxyproject.org,330
westmeath-county-council-open-data-westmeath.hub.arcgis.com,326
erddap.emodnet-physics.eu,324
eunis.eea.europa.eu,320
academic.oup.com,316
pubchem.ncbi.nlm.nih.gov,304
metadata.hidrografico.pt,302
prod-dekalog.inria.fr,297
catalog.data.gov,290
www.bav.admin.ch,288
map.geo.bs.ch,288
www.data.gouv.fr,287
brickschema.org,283
maser.lesia.obspm.fr,276
www.agrarmarktdaten.ch,276
cdsarc.cds.unistra.fr,271
egdi.geology.cz,266
cat.indores.fr,265
ceur-ws.org,264
dataverse.ird.fr,263
ifb-elixirfr.github.io,261
www.iec.ch,258
urgi.versailles.inrae.fr,252
data.mendeley.com,250
bird-formation.univ-nantes.io,234
orcid.org,232
www.research-collection.ethz.ch,228
data.who.int,228
www.ecmwf.int,221
shop.swisstopo.admin.ch,216
cloud-span.github.io,216
www.bazl.admin.ch,216
waterlevel.ie,216
moodle.polytechnique.fr,216
moodle.france-bioinformatique.fr,214
virhostnet.prabi.fr,214
pubs.rsc.org,209
www.omicsdi.org,209
georessourcen.ethz.ch,204
www.nationaalgeoregister.nl,204
sextant.ifremer.fr,200
biel-bienne.mapplus.ch,199
bioportal.bioontology.org,199
fairsharing.org,198
webchem.ncbr.muni.cz,198
agroportal.lirmm.fr,195
epiverse.github.io,194
datasets.iisg.amsterdam,193
www.kilkennycoco.ie,192
daten.sg.ch,192
viageo.ch,192
portal.gdc.cancer.gov,187
proceedings.neurips.cc,184
proceedings.mlr.press,184
www.fr.ch,181
ppm.gumed.edu.pl,180
data.pndb.fr,180
